id,target,hobby_0,hobby_1,hobby_2,age_0,age_1,age_2,age_3,educational_level_0,educational_level_1,educational_level_2,educational_level_3,marital_status_0,marital_status_1,marital_status_2,marital_status_3
0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0
2,2,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0
3,2,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0
4,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
5,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
6,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0
7,2,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1
8,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
9,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0
10,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
11,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
12,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
13,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0
14,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1
15,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
16,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
17,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
18,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
19,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0
20,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
21,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
22,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0
23,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
24,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
25,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0
26,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
27,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0
28,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
29,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0
30,2,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0
31,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
32,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
33,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
34,2,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
35,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
36,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
37,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0
38,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
39,2,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
40,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0
41,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
42,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
43,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0
44,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0
45,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
46,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
47,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
48,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
49,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0
50,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
51,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
52,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
53,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0
54,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
55,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0
56,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0
57,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0
58,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
59,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0
60,2,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0
61,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
62,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
63,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
64,2,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
65,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
66,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
67,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
68,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
69,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
70,2,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0
71,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0
72,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
73,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0
74,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1
75,2,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
76,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0
77,2,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0
78,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
79,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
80,2,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0
81,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
82,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
83,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
84,2,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0
85,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
86,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
87,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
88,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
89,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
90,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0
91,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
92,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
93,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
94,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
95,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0
96,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0
97,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
