images,values,hobby_0,hobby_1,hobby_2,age_0,age_1,age_2,age_3,educational_level_0,educational_level_1,educational_level_2,educational_level_3,marital_status_0,marital_status_1,marital_status_2,marital_status_3
00\000000.png,0,-0.910259,1.6966991,-0.6376468,1.3127849,-0.7745967,-0.48038447,-0.27500954,1.3127849,-0.80064076,-0.45557344,-0.27500954,-0.7617394,1.3581033,-0.48038447,-0.32163376
02\000001.png,2,-0.910259,1.6966991,-0.6376468,-0.7617394,-0.7745967,-0.48038447,3.6362374,-0.7617394,1.2489996,-0.45557344,-0.27500954,-0.7617394,1.3581033,-0.48038447,-0.32163376
02\000002.png,2,1.0985885,-0.58937967,-0.6376468,1.3127849,-0.7745967,-0.48038447,-0.27500954,-0.7617394,-0.80064076,2.1950357,-0.27500954,-0.7617394,-0.73632103,-0.48038447,3.1091263
01\000003.png,1,-0.910259,-0.58937967,1.5682664,1.3127849,-0.7745967,-0.48038447,-0.27500954,-0.7617394,-0.80064076,2.1950357,-0.27500954,-0.7617394,1.3581033,-0.48038447,-0.32163376
02\000004.png,2,-0.910259,-0.58937967,1.5682664,-0.7617394,-0.7745967,-0.48038447,3.6362374,-0.7617394,1.2489996,-0.45557344,-0.27500954,-0.7617394,-0.73632103,-0.48038447,3.1091263
00\000005.png,0,-0.910259,1.6966991,-0.6376468,-0.7617394,1.2909944,-0.48038447,-0.27500954,1.3127849,-0.80064076,-0.45557344,-0.27500954,1.3127849,-0.73632103,-0.48038447,-0.32163376
00\000006.png,0,-0.910259,-0.58937967,1.5682664,-0.7617394,1.2909944,-0.48038447,-0.27500954,1.3127849,-0.80064076,-0.45557344,-0.27500954,1.3127849,-0.73632103,-0.48038447,-0.32163376
00\000007.png,0,1.0985885,-0.58937967,-0.6376468,-0.7617394,1.2909944,-0.48038447,-0.27500954,1.3127849,-0.80064076,-0.45557344,-0.27500954,1.3127849,-0.73632103,-0.48038447,-0.32163376
02\000008.png,2,-0.910259,1.6966991,-0.6376468,-0.7617394,1.2909944,-0.48038447,-0.27500954,-0.7617394,-0.80064076,2.1950357,-0.27500954,-0.7617394,-0.73632103,-0.48038447,3.1091263
00\000009.png,0,1.0985885,-0.58937967,-0.6376468,1.3127849,-0.7745967,-0.48038447,-0.27500954,-0.7617394,1.2489996,-0.45557344,-0.27500954,1.3127849,-0.73632103,-0.48038447,-0.32163376
01\000010.png,1,-0.910259,1.6966991,-0.6376468,1.3127849,-0.7745967,-0.48038447,-0.27500954,-0.7617394,1.2489996,-0.45557344,-0.27500954,-0.7617394,1.3581033,-0.48038447,-0.32163376
00\000011.png,0,1.0985885,-0.58937967,-0.6376468,1.3127849,-0.7745967,-0.48038447,-0.27500954,-0.7617394,-0.80064076,2.1950357,-0.27500954,-0.7617394,-0.73632103,2.081666,-0.32163376
01\000012.png,1,-0.910259,-0.58937967,1.5682664,-0.7617394,1.2909944,-0.48038447,-0.27500954,1.3127849,-0.80064076,-0.45557344,-0.27500954,-0.7617394,1.3581033,-0.48038447,-0.32163376
00\000013.png,0,1.0985885,-0.58937967,-0.6376468,-0.7617394,1.2909944,-0.48038447,-0.27500954,1.3127849,-0.80064076,-0.45557344,-0.27500954,1.3127849,-0.73632103,-0.48038447,-0.32163376
00\000014.png,0,-0.910259,-0.58937967,1.5682664,-0.7617394,-0.7745967,2.081666,-0.27500954,-0.7617394,1.2489996,-0.45557344,-0.27500954,1.3127849,-0.73632103,-0.48038447,-0.32163376
00\000015.png,0,-0.910259,-0.58937967,1.5682664,1.3127849,-0.7745967,-0.48038447,-0.27500954,-0.7617394,-0.80064076,2.1950357,-0.27500954,-0.7617394,1.3581033,-0.48038447,-0.32163376
01\000016.png,1,1.0985885,-0.58937967,-0.6376468,-0.7617394,1.2909944,-0.48038447,-0.27500954,-0.7617394,1.2489996,-0.45557344,-0.27500954,1.3127849,-0.73632103,-0.48038447,-0.32163376
00\000017.png,0,-0.910259,-0.58937967,1.5682664,-0.7617394,1.2909944,-0.48038447,-0.27500954,1.3127849,-0.80064076,-0.45557344,-0.27500954,-0.7617394,-0.73632103,2.081666,-0.32163376
00\000018.png,0,-0.910259,1.6966991,-0.6376468,-0.7617394,-0.7745967,2.081666,-0.27500954,-0.7617394,1.2489996,-0.45557344,-0.27500954,1.3127849,-0.73632103,-0.48038447,-0.32163376
01\000019.png,1,-0.910259,-0.58937967,1.5682664,-0.7617394,1.2909944,-0.48038447,-0.27500954,-0.7617394,1.2489996,-0.45557344,-0.27500954,1.3127849,-0.73632103,-0.48038447,-0.32163376
01\000020.png,1,-0.910259,-0.58937967,1.5682664,-0.7617394,1.2909944,-0.48038447,-0.27500954,1.3127849,-0.80064076,-0.45557344,-0.27500954,-0.7617394,-0.73632103,2.081666,-0.32163376
00\000021.png,0,1.0985885,-0.58937967,-0.6376468,1.3127849,-0.7745967,-0.48038447,-0.27500954,-0.7617394,-0.80064076,2.1950357,-0.27500954,-0.7617394,1.3581033,-0.48038447,-0.32163376
02\000022.png,2,1.0985885,-0.58937967,-0.6376468,-0.7617394,-0.7745967,-0.48038447,3.6362374,1.3127849,-0.80064076,-0.45557344,-0.27500954,1.3127849,-0.73632103,-0.48038447,-0.32163376
00\000023.png,0,-0.910259,1.6966991,-0.6376468,-0.7617394,1.2909944,-0.48038447,-0.27500954,1.3127849,-0.80064076,-0.45557344,-0.27500954,-0.7617394,-0.73632103,2.081666,-0.32163376
01\000024.png,1,1.0985885,-0.58937967,-0.6376468,-0.7617394,1.2909944,-0.48038447,-0.27500954,1.3127849,-0.80064076,-0.45557344,-0.27500954,-0.7617394,-0.73632103,2.081666,-0.32163376
00\000025.png,0,1.0985885,-0.58937967,-0.6376468,1.3127849,-0.7745967,-0.48038447,-0.27500954,1.3127849,-0.80064076,-0.45557344,-0.27500954,-0.7617394,1.3581033,-0.48038447,-0.32163376
02\000026.png,2,-0.910259,1.6966991,-0.6376468,-0.7617394,-0.7745967,-0.48038447,3.6362374,-0.7617394,-0.80064076,2.1950357,-0.27500954,1.3127849,-0.73632103,-0.48038447,-0.32163376
01\000027.png,1,-0.910259,-0.58937967,1.5682664,1.3127849,-0.7745967,-0.48038447,-0.27500954,-0.7617394,1.2489996,-0.45557344,-0.27500954,-0.7617394,1.3581033,-0.48038447,-0.32163376
01\000028.png,1,1.0985885,-0.58937967,-0.6376468,1.3127849,-0.7745967,-0.48038447,-0.27500954,-0.7617394,1.2489996,-0.45557344,-0.27500954,-0.7617394,1.3581033,-0.48038447,-0.32163376
01\000029.png,1,-0.910259,-0.58937967,1.5682664,-0.7617394,1.2909944,-0.48038447,-0.27500954,-0.7617394,1.2489996,-0.45557344,-0.27500954,1.3127849,-0.73632103,-0.48038447,-0.32163376
01\000030.png,1,1.0985885,-0.58937967,-0.6376468,-0.7617394,1.2909944,-0.48038447,-0.27500954,1.3127849,-0.80064076,-0.45557344,-0.27500954,-0.7617394,1.3581033,-0.48038447,-0.32163376
01\000031.png,1,-0.910259,1.6966991,-0.6376468,-0.7617394,1.2909944,-0.48038447,-0.27500954,1.3127849,-0.80064076,-0.45557344,-0.27500954,-0.7617394,1.3581033,-0.48038447,-0.32163376
01\000032.png,1,-0.910259,-0.58937967,1.5682664,-0.7617394,1.2909944,-0.48038447,-0.27500954,1.3127849,-0.80064076,-0.45557344,-0.27500954,-0.7617394,-0.73632103,2.081666,-0.32163376
00\000033.png,0,-0.910259,-0.58937967,1.5682664,-0.7617394,1.2909944,-0.48038447,-0.27500954,1.3127849,-0.80064076,-0.45557344,-0.27500954,1.3127849,-0.73632103,-0.48038447,-0.32163376
00\000034.png,0,-0.910259,-0.58937967,1.5682664,1.3127849,-0.7745967,-0.48038447,-0.27500954,-0.7617394,1.2489996,-0.45557344,-0.27500954,1.3127849,-0.73632103,-0.48038447,-0.32163376
01\000035.png,1,1.0985885,-0.58937967,-0.6376468,-0.7617394,1.2909944,-0.48038447,-0.27500954,1.3127849,-0.80064076,-0.45557344,-0.27500954,-0.7617394,-0.73632103,2.081666,-0.32163376
00\000036.png,0,-0.910259,1.6966991,-0.6376468,1.3127849,-0.7745967,-0.48038447,-0.27500954,1.3127849,-0.80064076,-0.45557344,-0.27500954,-0.7617394,1.3581033,-0.48038447,-0.32163376
00\000037.png,0,1.0985885,-0.58937967,-0.6376468,1.3127849,-0.7745967,-0.48038447,-0.27500954,1.3127849,-0.80064076,-0.45557344,-0.27500954,-0.7617394,1.3581033,-0.48038447,-0.32163376
01\000038.png,1,1.0985885,-0.58937967,-0.6376468,-0.7617394,1.2909944,-0.48038447,-0.27500954,-0.7617394,1.2489996,-0.45557344,-0.27500954,-0.7617394,-0.73632103,2.081666,-0.32163376
00\000039.png,0,-0.910259,-0.58937967,1.5682664,-0.7617394,-0.7745967,2.081666,-0.27500954,1.3127849,-0.80064076,-0.45557344,-0.27500954,1.3127849,-0.73632103,-0.48038447,-0.32163376
00\000040.png,0,-0.910259,-0.58937967,1.5682664,-0.7617394,-0.7745967,2.081666,-0.27500954,-0.7617394,-0.80064076,2.1950357,-0.27500954,1.3127849,-0.73632103,-0.48038447,-0.32163376
01\000041.png,1,-0.910259,-0.58937967,1.5682664,-0.7617394,1.2909944,-0.48038447,-0.27500954,1.3127849,-0.80064076,-0.45557344,-0.27500954,-0.7617394,1.3581033,-0.48038447,-0.32163376
01\000042.png,1,-0.910259,-0.58937967,1.5682664,-0.7617394,1.2909944,-0.48038447,-0.27500954,1.3127849,-0.80064076,-0.45557344,-0.27500954,-0.7617394,1.3581033,-0.48038447,-0.32163376
00\000043.png,0,-0.910259,-0.58937967,1.5682664,1.3127849,-0.7745967,-0.48038447,-0.27500954,-0.7617394,1.2489996,-0.45557344,-0.27500954,1.3127849,-0.73632103,-0.48038447,-0.32163376
