images,values,hobby_0,hobby_1,hobby_2,age_0,age_1,age_2,age_3,educational_level_0,educational_level_1,educational_level_2,educational_level_3,marital_status_0,marital_status_1,marital_status_2,marital_status_3
00\000000.png,0,-0.9247013,1.510646,-0.55328333,1.269742,-0.7745967,-0.45557344,-0.27500954,1.3351437,-0.72374684,-0.5170365,-0.30662206,-0.78756154,1.3351437,-0.46802524,-0.29111126
01\000001.png,1,-0.9247013,1.510646,-0.55328333,1.269742,-0.7745967,-0.45557344,-0.27500954,-0.748983,-0.72374684,1.9340994,-0.30662206,-0.78756154,1.3351437,-0.46802524,-0.29111126
02\000002.png,2,-0.9247013,-0.66196847,1.8073922,1.269742,-0.7745967,-0.45557344,-0.27500954,-0.748983,-0.72374684,-0.5170365,3.261344,1.269742,-0.748983,-0.46802524,-0.29111126
02\000003.png,2,1.0814303,-0.66196847,-0.55328333,1.269742,-0.7745967,-0.45557344,-0.27500954,-0.748983,-0.72374684,1.9340994,-0.30662206,-0.78756154,-0.748983,-0.46802524,3.4351127
01\000004.png,1,1.0814303,-0.66196847,-0.55328333,1.269742,-0.7745967,-0.45557344,-0.27500954,-0.748983,-0.72374684,1.9340994,-0.30662206,-0.78756154,1.3351437,-0.46802524,-0.29111126
01\000005.png,1,-0.9247013,-0.66196847,1.8073922,1.269742,-0.7745967,-0.45557344,-0.27500954,-0.748983,-0.72374684,1.9340994,-0.30662206,-0.78756154,1.3351437,-0.46802524,-0.29111126
02\000006.png,2,-0.9247013,-0.66196847,1.8073922,-0.78756154,-0.7745967,-0.45557344,3.6362374,-0.748983,1.3816986,-0.5170365,-0.30662206,-0.78756154,-0.748983,-0.46802524,3.4351127
00\000007.png,0,-0.9247013,1.510646,-0.55328333,-0.78756154,1.2909944,-0.45557344,-0.27500954,1.3351437,-0.72374684,-0.5170365,-0.30662206,1.269742,-0.748983,-0.46802524,-0.29111126
00\000008.png,0,-0.9247013,-0.66196847,1.8073922,-0.78756154,1.2909944,-0.45557344,-0.27500954,1.3351437,-0.72374684,-0.5170365,-0.30662206,1.269742,-0.748983,-0.46802524,-0.29111126
02\000009.png,2,-0.9247013,1.510646,-0.55328333,-0.78756154,1.2909944,-0.45557344,-0.27500954,-0.748983,-0.72374684,1.9340994,-0.30662206,-0.78756154,-0.748983,-0.46802524,3.4351127
00\000010.png,0,1.0814303,-0.66196847,-0.55328333,1.269742,-0.7745967,-0.45557344,-0.27500954,-0.748983,1.3816986,-0.5170365,-0.30662206,1.269742,-0.748983,-0.46802524,-0.29111126
01\000011.png,1,-0.9247013,1.510646,-0.55328333,1.269742,-0.7745967,-0.45557344,-0.27500954,-0.748983,1.3816986,-0.5170365,-0.30662206,-0.78756154,1.3351437,-0.46802524,-0.29111126
02\000012.png,2,-0.9247013,1.510646,-0.55328333,-0.78756154,-0.7745967,-0.45557344,3.6362374,1.3351437,-0.72374684,-0.5170365,-0.30662206,-0.78756154,-0.748983,-0.46802524,3.4351127
00\000013.png,0,1.0814303,-0.66196847,-0.55328333,1.269742,-0.7745967,-0.45557344,-0.27500954,-0.748983,-0.72374684,1.9340994,-0.30662206,-0.78756154,-0.748983,2.136637,-0.29111126
00\000014.png,0,1.0814303,-0.66196847,-0.55328333,-0.78756154,1.2909944,-0.45557344,-0.27500954,1.3351437,-0.72374684,-0.5170365,-0.30662206,1.269742,-0.748983,-0.46802524,-0.29111126
00\000015.png,0,-0.9247013,-0.66196847,1.8073922,-0.78756154,-0.7745967,2.1950357,-0.27500954,-0.748983,1.3816986,-0.5170365,-0.30662206,1.269742,-0.748983,-0.46802524,-0.29111126
00\000016.png,0,-0.9247013,-0.66196847,1.8073922,1.269742,-0.7745967,-0.45557344,-0.27500954,-0.748983,-0.72374684,1.9340994,-0.30662206,-0.78756154,1.3351437,-0.46802524,-0.29111126
01\000017.png,1,1.0814303,-0.66196847,-0.55328333,-0.78756154,1.2909944,-0.45557344,-0.27500954,-0.748983,1.3816986,-0.5170365,-0.30662206,1.269742,-0.748983,-0.46802524,-0.29111126
00\000018.png,0,-0.9247013,-0.66196847,1.8073922,-0.78756154,1.2909944,-0.45557344,-0.27500954,1.3351437,-0.72374684,-0.5170365,-0.30662206,-0.78756154,-0.748983,2.136637,-0.29111126
00\000019.png,0,-0.9247013,1.510646,-0.55328333,1.269742,-0.7745967,-0.45557344,-0.27500954,-0.748983,1.3816986,-0.5170365,-0.30662206,1.269742,-0.748983,-0.46802524,-0.29111126
00\000020.png,0,-0.9247013,-0.66196847,1.8073922,-0.78756154,1.2909944,-0.45557344,-0.27500954,1.3351437,-0.72374684,-0.5170365,-0.30662206,-0.78756154,-0.748983,2.136637,-0.29111126
01\000021.png,1,-0.9247013,-0.66196847,1.8073922,-0.78756154,1.2909944,-0.45557344,-0.27500954,-0.748983,1.3816986,-0.5170365,-0.30662206,1.269742,-0.748983,-0.46802524,-0.29111126
01\000022.png,1,-0.9247013,1.510646,-0.55328333,1.269742,-0.7745967,-0.45557344,-0.27500954,-0.748983,1.3816986,-0.5170365,-0.30662206,-0.78756154,1.3351437,-0.46802524,-0.29111126
00\000023.png,0,1.0814303,-0.66196847,-0.55328333,1.269742,-0.7745967,-0.45557344,-0.27500954,-0.748983,-0.72374684,1.9340994,-0.30662206,-0.78756154,1.3351437,-0.46802524,-0.29111126
00\000024.png,0,-0.9247013,-0.66196847,1.8073922,-0.78756154,1.2909944,-0.45557344,-0.27500954,1.3351437,-0.72374684,-0.5170365,-0.30662206,1.269742,-0.748983,-0.46802524,-0.29111126
02\000025.png,2,1.0814303,-0.66196847,-0.55328333,-0.78756154,-0.7745967,-0.45557344,3.6362374,1.3351437,-0.72374684,-0.5170365,-0.30662206,1.269742,-0.748983,-0.46802524,-0.29111126
00\000026.png,0,-0.9247013,1.510646,-0.55328333,-0.78756154,1.2909944,-0.45557344,-0.27500954,1.3351437,-0.72374684,-0.5170365,-0.30662206,-0.78756154,-0.748983,2.136637,-0.29111126
01\000027.png,1,1.0814303,-0.66196847,-0.55328333,-0.78756154,1.2909944,-0.45557344,-0.27500954,1.3351437,-0.72374684,-0.5170365,-0.30662206,-0.78756154,-0.748983,2.136637,-0.29111126
00\000028.png,0,1.0814303,-0.66196847,-0.55328333,1.269742,-0.7745967,-0.45557344,-0.27500954,1.3351437,-0.72374684,-0.5170365,-0.30662206,-0.78756154,1.3351437,-0.46802524,-0.29111126
02\000029.png,2,-0.9247013,1.510646,-0.55328333,-0.78756154,-0.7745967,-0.45557344,3.6362374,-0.748983,-0.72374684,1.9340994,-0.30662206,1.269742,-0.748983,-0.46802524,-0.29111126
01\000030.png,1,1.0814303,-0.66196847,-0.55328333,1.269742,-0.7745967,-0.45557344,-0.27500954,-0.748983,1.3816986,-0.5170365,-0.30662206,-0.78756154,1.3351437,-0.46802524,-0.29111126
01\000031.png,1,-0.9247013,-0.66196847,1.8073922,-0.78756154,1.2909944,-0.45557344,-0.27500954,-0.748983,1.3816986,-0.5170365,-0.30662206,1.269742,-0.748983,-0.46802524,-0.29111126
01\000032.png,1,1.0814303,-0.66196847,-0.55328333,-0.78756154,1.2909944,-0.45557344,-0.27500954,1.3351437,-0.72374684,-0.5170365,-0.30662206,-0.78756154,1.3351437,-0.46802524,-0.29111126
02\000033.png,2,-0.9247013,-0.66196847,1.8073922,-0.78756154,-0.7745967,-0.45557344,3.6362374,-0.748983,-0.72374684,1.9340994,-0.30662206,-0.78756154,1.3351437,-0.46802524,-0.29111126
01\000034.png,1,-0.9247013,1.510646,-0.55328333,-0.78756154,1.2909944,-0.45557344,-0.27500954,-0.748983,1.3816986,-0.5170365,-0.30662206,1.269742,-0.748983,-0.46802524,-0.29111126
01\000035.png,1,-0.9247013,1.510646,-0.55328333,-0.78756154,1.2909944,-0.45557344,-0.27500954,1.3351437,-0.72374684,-0.5170365,-0.30662206,-0.78756154,1.3351437,-0.46802524,-0.29111126
