images,values,sepal_length,sepal_width,petal_length,petal_width
00\000000.png,0,-0.9226804,0.97701377,-1.3473725,-1.3074172
00\000001.png,0,-1.1681826,-0.13533589,-1.3473725,-1.3074172
00\000002.png,0,-1.4136854,0.30960408,-1.4046872,-1.3074172
00\000003.png,0,-1.5364366,0.08713383,-1.2900578,-1.3074172
00\000004.png,0,-1.0454315,1.1994835,-1.3473725,-1.3074172
00\000005.png,0,-0.5544263,1.8668938,-1.1754284,-1.0443994
00\000006.png,0,-1.7819389,-0.3578056,-1.3473725,-1.3074172
00\000007.png,0,-1.1681826,0.08713383,-1.2900578,-1.4389259
00\000008.png,0,-0.5544263,1.4219538,-1.2900578,-1.3074172
00\000009.png,0,-1.2909337,0.7545441,-1.2327431,-1.3074172
00\000010.png,0,-1.2909337,-0.13533589,-1.3473725,-1.4389259
00\000011.png,0,-1.90469,-0.13533589,-1.5193166,-1.4389259
00\000012.png,0,-0.06342124,2.0893633,-1.4620018,-1.3074172
00\000013.png,0,-0.18617295,2.9792433,-1.2900578,-1.0443994
00\000014.png,0,-0.5544263,1.8668938,-1.4046872,-1.0443994
00\000015.png,0,-0.9226804,0.97701377,-1.3473725,-1.1759082
00\000016.png,0,-0.18617295,1.6444235,-1.1754284,-1.1759082
00\000017.png,0,-0.9226804,1.6444235,-1.2900578,-1.1759082
00\000018.png,0,-0.5544263,0.7545441,-1.1754284,-1.3074172
00\000019.png,0,-0.9226804,1.4219538,-1.2900578,-1.0443994
00\000020.png,0,-0.9226804,0.5320738,-1.1754284,-0.91289055
00\000021.png,0,-1.2909337,0.7545441,-1.0607991,-1.3074172
00\000022.png,0,-1.0454315,-0.13533589,-1.2327431,-1.3074172
00\000023.png,0,-1.0454315,0.7545441,-1.2327431,-1.0443994
00\000024.png,0,-0.7999292,0.7545441,-1.3473725,-1.3074172
00\000025.png,0,-1.4136854,0.30960408,-1.2327431,-1.3074172
00\000026.png,0,-0.5544263,0.7545441,-1.2900578,-1.0443994
00\000027.png,0,-0.7999292,2.3118331,-1.2900578,-1.4389259
00\000028.png,0,-0.43167523,2.534303,-1.3473725,-1.3074172
00\000029.png,0,-1.0454315,0.30960408,-1.4620018,-1.3074172
00\000030.png,0,-0.43167523,0.97701377,-1.4046872,-1.3074172
00\000031.png,0,-1.1681826,0.08713383,-1.2900578,-1.4389259
00\000032.png,0,-0.9226804,0.7545441,-1.2900578,-1.3074172
