images,values,sepal_length,sepal_width,petal_length,petal_width
00\000000.png,0,-1.1582707,-0.14983873,-1.342038,-1.3183317
00\000001.png,0,-1.3948541,0.32333633,-1.3982098,-1.3183317
00\000002.png,0,-1.5131454,0.08674852,-1.2858663,-1.3183317
00\000003.png,0,-0.5668133,1.9794487,-1.1735226,-1.0544455
00\000004.png,0,-1.5131454,0.79651135,-1.342038,-1.1863885
00\000005.png,0,-1.0399793,0.79651135,-1.2858663,-1.3183317
00\000006.png,0,-1.7497282,-0.38642597,-1.342038,-1.3183317
00\000007.png,0,-1.2765621,0.79651135,-1.2296944,-1.3183317
00\000008.png,0,-1.2765621,-0.14983873,-1.342038,-1.4502747
00\000009.png,0,-1.8680196,-0.14983873,-1.5105534,-1.4502747
00\000010.png,0,-0.0936472,2.2160358,-1.4543816,-1.3183317
00\000011.png,0,-0.21193916,3.1623862,-1.2858663,-1.0544455
00\000012.png,0,-0.5668133,1.9794487,-1.3982098,-1.0544455
00\000013.png,0,-0.921688,1.0330986,-1.342038,-1.1863885
00\000014.png,0,-0.21193916,1.7428609,-1.1735226,-1.1863885
00\000015.png,0,-0.5668133,0.79651135,-1.1735226,-1.3183317
00\000016.png,0,-1.5131454,1.2696859,-1.5667253,-1.3183317
00\000017.png,0,-0.921688,0.5599236,-1.1735226,-0.9225023
00\000018.png,0,-1.2765621,0.79651135,-1.061179,-1.3183317
00\000019.png,0,-1.0399793,-0.14983873,-1.2296944,-1.3183317
00\000020.png,0,-1.0399793,0.79651135,-1.2296944,-1.0544455
00\000021.png,0,-0.80339664,1.0330986,-1.2858663,-1.3183317
00\000022.png,0,-0.80339664,0.79651135,-1.342038,-1.3183317
00\000023.png,0,-1.3948541,0.32333633,-1.2296944,-1.3183317
00\000024.png,0,-1.2765621,0.08674852,-1.2296944,-1.3183317
00\000025.png,0,-0.80339664,2.4526234,-1.2858663,-1.4502747
00\000026.png,0,-0.4485219,2.6892107,-1.342038,-1.3183317
00\000027.png,0,-1.1582707,0.08674852,-1.2858663,-1.4502747
00\000028.png,0,-1.0399793,0.32333633,-1.4543816,-1.3183317
00\000029.png,0,-0.4485219,1.0330986,-1.3982098,-1.3183317
00\000030.png,0,-1.1582707,0.08674852,-1.2858663,-1.4502747
00\000031.png,0,-1.7497282,-0.14983873,-1.3982098,-1.3183317
00\000032.png,0,-0.921688,0.79651135,-1.2858663,-1.3183317
00\000033.png,0,-1.6314368,-1.8059511,-1.3982098,-1.1863885
00\000034.png,0,-1.0399793,1.0330986,-1.2296944,-0.7905592
00\000035.png,0,-0.921688,1.7428609,-1.061179,-1.0544455
00\000036.png,0,-1.2765621,-0.14983873,-1.342038,-1.1863885
00\000037.png,0,-0.921688,1.7428609,-1.2296944,-1.3183317
00\000038.png,0,-0.68510467,1.5062736,-1.2858663,-1.3183317
00\000039.png,0,-1.0399793,0.5599236,-1.342038,-1.3183317
01\000040.png,1,1.3258506,0.32333633,0.5116314,0.26498574
01\000041.png,1,0.6161016,0.32333633,0.39928794,0.3969289
01\000042.png,1,1.2075592,0.08674852,0.62397516,0.3969289
01\000043.png,1,-0.4485219,-1.8059511,0.11842889,0.1330426
01\000044.png,1,0.73439306,-0.6230138,0.45545968,0.3969289
01\000045.png,1,-0.21193916,-0.6230138,0.39928794,0.1330426
01\000046.png,1,0.49781027,0.5599236,0.5116314,0.5288721
01\000047.png,1,-1.1582707,-1.5693634,-0.27477378,-0.26278672
01\000048.png,1,-0.80339664,-0.859601,0.062257145,0.26498574
01\000049.png,1,0.024644183,-0.14983873,0.23077239,0.3969289
01\000050.png,1,0.14293557,-2.0425384,0.11842889,-0.26278672
01\000051.png,1,0.26122695,-0.38642597,0.5116314,0.26498574
01\000052.png,1,-0.33023053,-0.38642597,-0.10625838,0.1330426
01\000053.png,1,0.9709758,0.08674852,0.34311616,0.26498574
01\000054.png,1,-0.33023053,-0.14983873,0.39928794,0.3969289
01\000055.png,1,-0.0936472,-0.859601,0.17460065,-0.26278672
01\000056.png,1,-0.33023053,-1.3327761,0.062257145,-0.13084355
01\000057.png,1,0.024644183,0.32333633,0.56780344,0.7927582
01\000058.png,1,0.26122695,-0.6230138,0.11842889,0.1330426
01\000059.png,1,0.49781027,-1.3327761,0.62397516,0.3969289
01\000060.png,1,0.26122695,-0.6230138,0.5116314,0.0010996034
01\000061.png,1,1.0892677,-0.6230138,0.56780344,0.26498574
01\000062.png,1,0.9709758,-0.14983873,0.68014693,0.66081524
01\000063.png,1,0.14293557,-0.38642597,0.39928794,0.3969289
01\000064.png,1,-0.21193916,-1.0961888,-0.16243012,-0.26278672
01\000065.png,1,-0.4485219,-1.5693634,-0.05008649,-0.26278672
01\000066.png,1,0.14293557,-0.859601,0.73631865,0.5288721
01\000067.png,1,-0.5668133,-0.14983873,0.39928794,0.3969289
01\000068.png,1,0.14293557,0.79651135,0.39928794,0.5288721
01\000069.png,1,0.9709758,0.08674852,0.5116314,0.3969289
01\000070.png,1,0.49781027,-1.8059511,0.34311616,0.1330426
01\000071.png,1,-0.33023053,-0.14983873,0.17460065,0.1330426
01\000072.png,1,0.26122695,-0.14983873,0.45545968,0.26498574
01\000073.png,1,-0.0936472,-1.0961888,0.11842889,0.0010996034
01\000074.png,1,-1.0399793,-1.8059511,-0.27477378,-0.26278672
01\000075.png,1,-0.33023053,-0.859601,0.23077239,0.1330426
01\000076.png,1,-0.21193916,-0.14983873,0.23077239,0.0010996034
01\000077.png,1,0.37951833,-0.38642597,0.28694442,0.1330426
01\000078.png,1,-0.921688,-1.3327761,-0.44328913,-0.13084355
01\000079.png,1,-0.21193916,-0.6230138,0.17460065,0.1330426
02\000080.png,2,0.49781027,0.5599236,1.2418649,1.7163601
02\000081.png,2,-0.0936472,-0.859601,0.73631865,0.92470133
02\000082.png,2,1.444142,-0.14983873,1.1856933,1.1885875
02\000083.png,2,0.49781027,-0.38642597,1.0171777,0.7927582
02\000084.png,2,0.73439306,-0.14983873,1.1295215,1.3205308
02\000085.png,2,2.0355995,-0.14983873,1.5788957,1.1885875
02\000086.png,2,1.6807253,-0.38642597,1.4103805,0.7927582
02\000087.png,2,1.0892677,-0.14983873,0.9610059,1.1885875
02\000088.png,2,-0.21193916,-1.3327761,0.68014693,1.0566446
02\000089.png,2,0.6161016,0.32333633,0.84866244,1.4524738
02\000090.png,2,0.73439306,-0.14983873,0.9610059,0.7927582
02\000091.png,2,2.1538908,1.7428609,1.6350675,1.3205308
02\000092.png,2,2.1538908,-1.0961888,1.7474113,1.4524738
02\000093.png,2,0.14293557,-2.0425384,0.68014693,0.3969289
02\000094.png,2,2.1538908,-0.6230138,1.6350675,1.0566446
02\000095.png,2,0.49781027,-0.859601,0.62397516,0.7927582
02\000096.png,2,0.9709758,0.5599236,1.0733495,1.1885875
02\000097.png,2,1.5624334,0.32333633,1.2418649,0.7927582
02\000098.png,2,0.37951833,-0.6230138,0.56780344,0.7927582
02\000099.png,2,0.26122695,-0.14983873,0.62397516,0.7927582
02\000100.png,2,0.6161016,-0.6230138,1.0171777,1.1885875
02\000101.png,2,1.5624334,-0.14983873,1.1295215,0.5288721
02\000102.png,2,1.7990167,-0.6230138,1.2980367,0.92470133
02\000103.png,2,2.390474,1.7428609,1.4665523,1.0566446
02\000104.png,2,0.6161016,-0.6230138,1.0171777,1.3205308
02\000105.png,2,0.49781027,-0.6230138,0.73631865,0.3969289
02\000106.png,2,0.26122695,-1.0961888,1.0171777,0.26498574
02\000107.png,2,2.1538908,-0.14983873,1.2980367,1.4524738
02\000108.png,2,0.6161016,0.08674852,0.9610059,0.7927582
02\000109.png,2,0.14293557,-0.14983873,0.56780344,0.7927582
02\000110.png,2,1.2075592,0.08674852,0.9048342,1.1885875
02\000111.png,2,0.9709758,0.08674852,1.0171777,1.5844171
02\000112.png,2,1.2075592,0.08674852,0.73631865,1.4524738
02\000113.png,2,-0.0936472,-0.859601,0.73631865,0.92470133
02\000114.png,2,1.0892677,0.32333633,1.1856933,1.4524738
02\000115.png,2,0.9709758,0.5599236,1.0733495,1.7163601
02\000116.png,2,0.9709758,-0.14983873,0.7924904,1.4524738
02\000117.png,2,0.49781027,-1.3327761,0.68014693,0.92470133
02\000118.png,2,0.73439306,-0.14983873,0.7924904,1.0566446
02\000119.png,2,0.37951833,0.79651135,0.9048342,1.4524738
