images,values,sepal_length,sepal_width,petal_length,petal_width
00\000000.png,0,-0.87740505,1.0855029,-1.334352,-1.2965418
00\000001.png,0,-1.1148087,-0.15743937,-1.334352,-1.2965418
00\000002.png,0,-1.3522128,0.33973765,-1.3906736,-1.2965418
00\000003.png,0,-0.99610686,1.3340911,-1.334352,-1.2965418
00\000004.png,0,-1.4709146,0.83691466,-1.334352,-1.1680654
00\000005.png,0,-0.99610686,0.83691466,-1.2780304,-1.2965418
00\000006.png,0,-1.7083182,-0.40602753,-1.334352,-1.2965418
00\000007.png,0,-1.1148087,0.091148846,-1.2780304,-1.4250184
00\000008.png,0,-0.5212991,1.5826799,-1.2780304,-1.2965418
00\000009.png,0,-1.2335105,0.83691466,-1.2217088,-1.2965418
00\000010.png,0,-1.2335105,-0.15743937,-1.334352,-1.4250184
00\000011.png,0,-1.82702,-0.15743937,-1.5033166,-1.4250184
00\000012.png,0,-0.046491344,2.328445,-1.4469951,-1.2965418
00\000013.png,0,-0.1651937,3.3227987,-1.2780304,-1.0395889
00\000014.png,0,-0.87740505,1.8312681,-1.2780304,-1.1680654
00\000015.png,0,-0.5212991,0.83691466,-1.1653873,-1.2965418
00\000016.png,0,-0.87740505,1.5826799,-1.2780304,-1.0395889
00\000017.png,0,-1.4709146,1.3340911,-1.5596384,-1.2965418
00\000018.png,0,-0.87740505,0.58832586,-1.1653873,-0.9111124
00\000019.png,0,-1.2335105,0.83691466,-1.0527442,-1.2965418
00\000020.png,0,-0.99610686,-0.15743937,-1.2217088,-1.2965418
00\000021.png,0,-0.7587033,1.0855029,-1.2780304,-1.2965418
00\000022.png,0,-0.7587033,0.83691466,-1.334352,-1.2965418
00\000023.png,0,-1.3522128,0.33973765,-1.2217088,-1.2965418
00\000024.png,0,-1.2335105,0.091148846,-1.2217088,-1.2965418
00\000025.png,0,-0.5212991,0.83691466,-1.2780304,-1.0395889
00\000026.png,0,-0.7587033,2.577033,-1.2780304,-1.4250184
00\000027.png,0,-0.40259734,2.8256214,-1.334352,-1.2965418
00\000028.png,0,-1.1148087,0.091148846,-1.2780304,-1.4250184
00\000029.png,0,-0.99610686,0.33973765,-1.4469951,-1.2965418
00\000030.png,0,-1.1148087,0.091148846,-1.2780304,-1.4250184
00\000031.png,0,-1.7083182,-0.15743937,-1.3906736,-1.2965418
00\000032.png,0,-0.99610686,1.0855029,-1.3906736,-1.1680654
00\000033.png,0,-1.5896164,-1.8975585,-1.3906736,-1.1680654
00\000034.png,0,-1.7083182,0.33973765,-1.3906736,-1.2965418
00\000035.png,0,-0.87740505,1.8312681,-1.0527442,-1.0395889
00\000036.png,0,-1.2335105,-0.15743937,-1.334352,-1.1680654
00\000037.png,0,-1.4709146,0.33973765,-1.334352,-1.2965418
00\000038.png,0,-0.6400009,1.5826799,-1.2780304,-1.2965418
00\000039.png,0,-0.99610686,0.58832586,-1.334352,-1.2965418
01\000040.png,1,1.3779315,0.33973765,0.5242599,0.24517594
01\000041.png,1,0.66572005,0.33973765,0.41161686,0.3736525
01\000042.png,1,1.2592297,0.091148846,0.63690317,0.3736525
01\000043.png,1,-0.1651937,-0.65461636,0.41161686,0.11669943
01\000044.png,1,0.54701823,0.58832586,0.5242599,0.502129
01\000045.png,1,0.9031237,-0.40602753,0.4679384,0.11669943
01\000046.png,1,-0.7587033,-0.9032045,0.07368745,0.24517594
