images,values,sepal_length,sepal_width,petal_length,petal_width
00\000000.png,0,-0.865387,1.0963376,-1.3418682,-1.3167671
00\000001.png,0,-1.1077355,-0.07205061,-1.3418682,-1.3167671
00\000002.png,0,-1.3500845,0.39530474,-1.3990705,-1.3167671
00\000003.png,0,-1.4712588,0.1616268,-1.2846661,-1.3167671
00\000004.png,0,-0.98656124,1.3300148,-1.3418682,-1.3167671
00\000005.png,0,-0.50186366,2.031048,-1.1702616,-1.0503049
00\000006.png,0,-1.4712588,0.8626601,-1.3418682,-1.1835359
00\000007.png,0,-0.98656124,0.8626601,-1.2846661,-1.3167671
00\000008.png,0,-1.7136073,-0.305728,-1.3418682,-1.3167671
00\000009.png,0,-1.1077355,0.1616268,-1.2846661,-1.4499981
00\000010.png,0,-0.50186366,1.5636928,-1.2846661,-1.3167671
00\000011.png,0,-1.2289097,-0.07205061,-1.3418682,-1.4499981
00\000012.png,0,-0.50186366,2.031048,-1.3990705,-1.0503049
00\000013.png,0,-0.865387,1.0963376,-1.3418682,-1.1835359
00\000014.png,0,-0.13834095,1.7973702,-1.1702616,-1.1835359
00\000015.png,0,-0.865387,1.7973702,-1.2846661,-1.1835359
00\000016.png,0,-0.865387,1.5636928,-1.2846661,-1.0503049
00\000017.png,0,-1.4712588,1.3300148,-1.570677,-1.3167671
00\000018.png,0,-0.865387,0.6289821,-1.1702616,-0.91707385
00\000019.png,0,-1.2289097,0.8626601,-1.0558572,-1.3167671
00\000020.png,0,-0.98656124,0.8626601,-1.2274638,-1.0503049
00\000021.png,0,-0.74421275,1.0963376,-1.2846661,-1.3167671
00\000022.png,0,-0.74421275,0.8626601,-1.3418682,-1.3167671
00\000023.png,0,-1.2289097,0.1616268,-1.2274638,-1.3167671
00\000024.png,0,-0.50186366,0.8626601,-1.2846661,-1.0503049
00\000025.png,0,-0.74421275,2.4984028,-1.2846661,-1.4499981
00\000026.png,0,-1.1077355,0.1616268,-1.2846661,-1.4499981
00\000027.png,0,-0.38068944,1.0963376,-1.3990705,-1.3167671
00\000028.png,0,-1.1077355,0.1616268,-1.2846661,-1.4499981
00\000029.png,0,-1.7136073,-0.07205061,-1.3990705,-1.3167671
00\000030.png,0,-0.865387,0.8626601,-1.2846661,-1.3167671
00\000031.png,0,-0.98656124,1.0963376,-1.3990705,-1.1835359
00\000032.png,0,-1.5924331,-1.7077942,-1.3990705,-1.1835359
00\000033.png,0,-1.7136073,0.39530474,-1.3990705,-1.3167671
00\000034.png,0,-0.98656124,1.0963376,-1.2274638,-0.78384274
00\000035.png,0,-0.865387,1.7973702,-1.0558572,-1.0503049
00\000036.png,0,-0.865387,1.7973702,-1.2274638,-1.3167671
00\000037.png,0,-1.4712588,0.39530474,-1.3418682,-1.3167671
00\000038.png,0,-0.62303793,1.5636928,-1.2846661,-1.3167671
00\000039.png,0,-0.98656124,0.6289821,-1.3418682,-1.3167671
01\000040.png,1,1.4369259,0.39530474,0.5458042,0.28200573
01\000041.png,1,0.70987993,0.39530474,0.4313999,0.41523683
01\000042.png,1,-0.38068944,-1.7077942,0.14538893,0.14877464
01\000043.png,1,0.83105415,-0.53940594,0.48860204,0.41523683
01\000044.png,1,-0.13834095,-0.53940594,0.4313999,0.14877464
01\000045.png,1,0.58870566,0.6289821,0.5458042,0.54846793
01\000046.png,1,-1.1077355,-1.4741162,-0.2550265,-0.2509185
01\000047.png,1,0.95222837,-0.305728,0.48860204,0.14877464
01\000048.png,1,-0.98656124,-2.4088268,-0.14062205,-0.2509185
01\000049.png,1,0.104008116,-0.07205061,0.25979322,0.41523683
01\000050.png,1,0.22518237,-1.9414716,0.14538893,-0.2509185
01\000051.png,1,0.3463566,-0.305728,0.5458042,0.28200573
01\000052.png,1,-0.2595152,-0.305728,-0.08341991,0.14877464
01\000053.png,1,-0.2595152,-0.07205061,0.4313999,0.41523683
01\000054.png,1,-0.017166125,-0.7730833,0.20259108,-0.2509185
01\000055.png,1,0.46753085,-1.9414716,0.4313999,0.41523683
01\000056.png,1,-0.2595152,-1.2404388,0.08818679,-0.1176874
01\000057.png,1,0.104008116,0.39530474,0.60300666,0.81492996
01\000058.png,1,0.3463566,-0.53940594,0.14538893,0.14877464
01\000059.png,1,0.58870566,-1.2404388,0.66020876,0.41523683
01\000060.png,1,0.3463566,-0.53940594,0.5458042,0.015543696
01\000061.png,1,0.70987993,-0.305728,0.31699562,0.14877464
01\000062.png,1,0.95222837,-0.07205061,0.37419775,0.28200573
01\000063.png,1,1.1945775,-0.53940594,0.60300666,0.28200573
01\000064.png,1,1.0734026,-0.07205061,0.7174109,0.68169904
01\000065.png,1,-0.13834095,-1.0067613,-0.14062205,-0.2509185
01\000066.png,1,-0.38068944,-1.4741162,0.030984508,-0.1176874
01\000067.png,1,-0.38068944,-1.4741162,-0.026217636,-0.2509185
01\000068.png,1,-0.017166125,-0.7730833,0.08818679,0.015543696
01\000069.png,1,0.22518237,-0.7730833,0.7746131,0.54846793
01\000070.png,1,-0.50186366,-0.07205061,0.4313999,0.41523683
01\000071.png,1,1.0734026,0.1616268,0.5458042,0.41523683
01\000072.png,1,-0.2595152,-0.07205061,0.20259108,0.14877464
01\000073.png,1,-0.38068944,-1.2404388,0.14538893,0.14877464
01\000074.png,1,-0.38068944,-1.0067613,0.37419775,0.015543696
01\000075.png,1,0.3463566,-0.07205061,0.48860204,0.28200573
01\000076.png,1,-0.98656124,-1.7077942,-0.2550265,-0.2509185
01\000077.png,1,-0.13834095,-0.07205061,0.25979322,0.015543696
01\000078.png,1,-0.13834095,-0.305728,0.25979322,0.14877464
01\000079.png,1,-0.865387,-1.2404388,-0.42663306,-0.1176874
02\000080.png,2,-0.017166125,-0.7730833,0.7746131,0.94816107
02\000081.png,2,0.58870566,-0.305728,1.0606241,0.81492996
02\000082.png,2,0.83105415,-0.07205061,1.1750286,1.3478544
02\000083.png,2,2.163972,-0.07205061,1.632646,1.2146231
02\000084.png,2,-1.1077355,-1.2404388,0.4313999,0.68169904
02\000085.png,2,1.0734026,-1.2404388,1.1750286,0.81492996
02\000086.png,2,1.6792744,1.3300148,1.346635,1.7475475
02\000087.png,2,0.83105415,0.39530474,0.7746131,1.0813922
02\000088.png,2,0.70987993,-0.7730833,0.88901764,0.94816107
02\000089.png,2,-0.13834095,-1.2404388,0.7174109,1.0813922
02\000090.png,2,-0.017166125,-0.53940594,0.7746131,1.6143166
02\000091.png,2,0.70987993,0.39530474,0.88901764,1.4810854
02\000092.png,2,0.83105415,-0.07205061,1.0034219,0.81492996
02\000093.png,2,2.2851462,1.7973702,1.6898481,1.3478544
02\000094.png,2,2.2851462,-1.0067613,1.8042527,1.4810854
02\000095.png,2,0.22518237,-1.9414716,0.7174109,0.41523683
02\000096.png,2,1.3157517,0.39530474,1.1178262,1.4810854
02\000097.png,2,-0.2595152,-0.53940594,0.66020876,1.0813922
02\000098.png,2,2.2851462,-0.53940594,1.6898481,1.0813922
02\000099.png,2,0.58870566,-0.7730833,0.66020876,0.81492996
02\000100.png,2,1.6792744,0.39530474,1.2894329,0.81492996
02\000101.png,2,0.46753085,-0.53940594,0.60300666,0.81492996
02\000102.png,2,0.3463566,-0.07205061,0.66020876,0.81492996
02\000103.png,2,0.70987993,-0.53940594,1.0606241,1.2146231
02\000104.png,2,1.6792744,-0.07205061,1.1750286,0.54846793
02\000105.png,2,2.5274954,1.7973702,1.5182416,1.0813922
02\000106.png,2,0.70987993,-0.53940594,1.0606241,1.3478544
02\000107.png,2,0.58870566,-0.53940594,0.7746131,0.41523683
02\000108.png,2,0.3463566,-1.0067613,1.0606241,0.28200573
02\000109.png,2,2.2851462,-0.07205061,1.346635,1.4810854
02\000110.png,2,0.58870566,0.8626601,1.0606241,1.6143166
02\000111.png,2,0.70987993,0.1616268,1.0034219,0.81492996
02\000112.png,2,1.0734026,0.1616268,1.0606241,1.6143166
02\000113.png,2,1.3157517,0.1616268,0.7746131,1.4810854
02\000114.png,2,-0.017166125,-0.7730833,0.7746131,0.94816107
02\000115.png,2,1.1945775,0.39530474,1.2322307,1.4810854
02\000116.png,2,1.0734026,-0.07205061,0.83181524,1.4810854
02\000117.png,2,0.58870566,-1.2404388,0.7174109,0.94816107
02\000118.png,2,0.83105415,-0.07205061,0.83181524,1.0813922
02\000119.png,2,0.104008116,-0.07205061,0.7746131,0.81492996
