images,values,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,tail,domestic,catsize,legs_0,legs_2,legs_4,legs_5,legs_6,legs_8
00\000000.png,0,1.1464231,-0.49613893,-1.1757351,1.2060454,-0.57259834,-0.7874008,0.8944272,0.80812204,0.45711622,0.5345225,-0.33104235,-0.47673127,-1.6903085,-0.3752933,1.1464231,-0.57259834,-0.62972355,1.3758115,0.0,-0.33104235,-0.15911146
00\000001.png,0,1.1464231,-0.49613893,-1.1757351,1.2060454,-0.57259834,-0.7874008,-1.118034,0.80812204,0.45711622,0.5345225,-0.33104235,-0.47673127,0.591608,-0.3752933,1.1464231,-0.57259834,-0.62972355,1.3758115,0.0,-0.33104235,-0.15911146
03\000002.png,3,-0.8722784,-0.49613893,0.8505317,-0.82915616,-0.57259834,1.2700013,0.8944272,0.80812204,0.45711622,-1.8708287,-0.33104235,2.0976176,0.591608,-0.3752933,-0.8722784,1.746425,-0.62972355,-0.7268438,0.0,-0.33104235,-0.15911146
00\000003.png,0,1.1464231,-0.49613893,-1.1757351,1.2060454,-0.57259834,-0.7874008,0.8944272,0.80812204,0.45711622,0.5345225,-0.33104235,-0.47673127,-1.6903085,-0.3752933,1.1464231,-0.57259834,-0.62972355,1.3758115,0.0,-0.33104235,-0.15911146
00\000004.png,0,1.1464231,-0.49613893,-1.1757351,1.2060454,-0.57259834,-0.7874008,0.8944272,0.80812204,0.45711622,0.5345225,-0.33104235,-0.47673127,0.591608,-0.3752933,1.1464231,-0.57259834,-0.62972355,1.3758115,0.0,-0.33104235,-0.15911146
00\000005.png,0,1.1464231,-0.49613893,-1.1757351,1.2060454,-0.57259834,-0.7874008,-1.118034,0.80812204,0.45711622,0.5345225,-0.33104235,-0.47673127,0.591608,-0.3752933,1.1464231,-0.57259834,-0.62972355,1.3758115,0.0,-0.33104235,-0.15911146
03\000006.png,3,-0.8722784,-0.49613893,0.8505317,-0.82915616,-0.57259834,1.2700013,-1.118034,0.80812204,0.45711622,-1.8708287,-0.33104235,2.0976176,0.591608,2.6645825,-0.8722784,1.746425,-0.62972355,-0.7268438,0.0,-0.33104235,-0.15911146
03\000007.png,3,-0.8722784,-0.49613893,0.8505317,-0.82915616,-0.57259834,1.2700013,0.8944272,0.80812204,0.45711622,-1.8708287,-0.33104235,2.0976176,0.591608,-0.3752933,-0.8722784,1.746425,-0.62972355,-0.7268438,0.0,-0.33104235,-0.15911146
00\000008.png,0,1.1464231,-0.49613893,-1.1757351,1.2060454,-0.57259834,-0.7874008,-1.118034,0.80812204,0.45711622,0.5345225,-0.33104235,-0.47673127,-1.6903085,2.6645825,-0.8722784,-0.57259834,-0.62972355,1.3758115,0.0,-0.33104235,-0.15911146
01\000009.png,1,-0.8722784,2.0155644,0.8505317,-0.82915616,1.746425,-0.7874008,-1.118034,-1.2374369,0.45711622,0.5345225,-0.33104235,-0.47673127,0.591608,2.6645825,-0.8722784,-0.57259834,1.5879984,-0.7268438,0.0,-0.33104235,-0.15911146
