images,values,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,tail,domestic,catsize,legs_0,legs_2,legs_4,legs_5,legs_6,legs_8
00\000000.png,0,1.1757351,-0.49613893,-1.2060454,1.2060454,-0.5345225,-0.766965,0.8505317,0.80812204,0.45711622,0.5153882,-0.28284273,-0.45711622,-1.6376257,-0.33104235,1.037749,-0.5535807,-0.591608,1.2700013,-0.1118034,-0.33104235,-0.1118034
00\000001.png,0,1.1757351,-0.49613893,-1.2060454,1.2060454,-0.5345225,-0.766965,0.8505317,0.80812204,0.45711622,0.5153882,-0.28284273,-0.45711622,-1.6376257,-0.33104235,1.037749,-0.5535807,-0.591608,1.2700013,-0.1118034,-0.33104235,-0.1118034
00\000002.png,0,1.1757351,-0.49613893,-1.2060454,1.2060454,-0.5345225,-0.766965,0.8505317,0.80812204,0.45711622,0.5153882,-0.28284273,-0.45711622,0.6106401,-0.33104235,1.037749,-0.5535807,-0.591608,1.2700013,-0.1118034,-0.33104235,-0.1118034
00\000003.png,0,1.1757351,-0.49613893,-1.2060454,1.2060454,-0.5345225,-0.766965,-1.1757351,0.80812204,0.45711622,0.5153882,-0.28284273,-0.45711622,0.6106401,-0.33104235,1.037749,-0.5535807,-0.591608,1.2700013,-0.1118034,-0.33104235,-0.1118034
00\000004.png,0,1.1757351,-0.49613893,-1.2060454,1.2060454,-0.5345225,-0.766965,-1.1757351,0.80812204,0.45711622,0.5153882,-0.28284273,-0.45711622,0.6106401,3.0207615,1.037749,-0.5535807,-0.591608,1.2700013,-0.1118034,-0.33104235,-0.1118034
03\000005.png,3,-0.8505317,-0.49613893,0.82915616,-0.82915616,-0.5345225,1.3038404,-1.1757351,0.80812204,0.45711622,-1.940285,-0.28284273,2.1876276,0.6106401,3.0207615,-0.9636241,1.8064214,-0.591608,-0.7874008,-0.1118034,-0.33104235,-0.1118034
00\000006.png,0,1.1757351,-0.49613893,-1.2060454,1.2060454,-0.5345225,-0.766965,-1.1757351,0.80812204,0.45711622,0.5153882,-0.28284273,-0.45711622,-1.6376257,3.0207615,-0.9636241,-0.5535807,-0.591608,1.2700013,-0.1118034,-0.33104235,-0.1118034
00\000007.png,0,1.1757351,-0.49613893,-1.2060454,1.2060454,-0.5345225,-0.766965,0.8505317,0.80812204,0.45711622,0.5153882,-0.28284273,-0.45711622,0.6106401,-0.33104235,1.037749,-0.5535807,-0.591608,1.2700013,-0.1118034,-0.33104235,-0.1118034
01\000008.png,1,-0.8505317,2.0155644,0.82915616,-0.82915616,1.8708287,-0.766965,-1.1757351,-1.2374369,0.45711622,0.5153882,-0.28284273,-0.45711622,0.6106401,3.0207615,-0.9636241,-0.5535807,1.6903085,-0.7874008,-0.1118034,-0.33104235,-0.1118034
03\000009.png,3,-0.8505317,-0.49613893,0.82915616,-0.82915616,-0.5345225,1.3038404,0.8505317,0.80812204,0.45711622,-1.940285,-0.28284273,2.1876276,0.6106401,-0.33104235,-0.9636241,1.8064214,-0.591608,-0.7874008,-0.1118034,-0.33104235,-0.1118034
06\000010.png,6,-0.8505317,-0.49613893,0.82915616,-0.82915616,-0.5345225,-0.766965,0.8505317,-1.2374369,-2.1876276,-1.940285,-0.28284273,-0.45711622,-1.6376257,-0.33104235,-0.9636241,1.8064214,-0.591608,-0.7874008,-0.1118034,-0.33104235,-0.1118034
06\000011.png,6,-0.8505317,-0.49613893,0.82915616,-0.82915616,-0.5345225,1.3038404,0.8505317,-1.2374369,-2.1876276,-1.940285,-0.28284273,-0.45711622,-1.6376257,-0.33104235,-0.9636241,-0.5535807,-0.591608,-0.7874008,-0.1118034,3.0207615,-0.1118034
01\000012.png,1,-0.8505317,2.0155644,0.82915616,-0.82915616,1.8708287,-0.766965,0.8505317,-1.2374369,0.45711622,0.5153882,-0.28284273,-0.45711622,0.6106401,-0.33104235,-0.9636241,-0.5535807,1.6903085,-0.7874008,-0.1118034,-0.33104235,-0.1118034
00\000013.png,0,1.1757351,-0.49613893,-1.2060454,1.2060454,-0.5345225,-0.766965,-1.1757351,0.80812204,0.45711622,0.5153882,-0.28284273,-0.45711622,0.6106401,-0.33104235,1.037749,-0.5535807,-0.591608,1.2700013,-0.1118034,-0.33104235,-0.1118034
03\000014.png,3,-0.8505317,-0.49613893,0.82915616,-0.82915616,-0.5345225,1.3038404,0.8505317,0.80812204,0.45711622,-1.940285,-0.28284273,2.1876276,0.6106401,-0.33104235,1.037749,1.8064214,-0.591608,-0.7874008,-0.1118034,-0.33104235,-0.1118034
00\000015.png,0,-0.8505317,-0.49613893,-1.2060454,1.2060454,-0.5345225,1.3038404,0.8505317,0.80812204,0.45711622,0.5153882,-0.28284273,2.1876276,0.6106401,-0.33104235,1.037749,1.8064214,-0.591608,-0.7874008,-0.1118034,-0.33104235,-0.1118034
01\000016.png,1,-0.8505317,2.0155644,0.82915616,-0.82915616,1.8708287,1.3038404,-1.1757351,-1.2374369,0.45711622,0.5153882,-0.28284273,-0.45711622,0.6106401,-0.33104235,-0.9636241,-0.5535807,1.6903085,-0.7874008,-0.1118034,-0.33104235,-0.1118034
00\000017.png,0,1.1757351,-0.49613893,-1.2060454,1.2060454,-0.5345225,-0.766965,-1.1757351,0.80812204,0.45711622,0.5153882,-0.28284273,-0.45711622,0.6106401,-0.33104235,1.037749,-0.5535807,-0.591608,1.2700013,-0.1118034,-0.33104235,-0.1118034
01\000018.png,1,-0.8505317,2.0155644,0.82915616,-0.82915616,1.8708287,-0.766965,-1.1757351,-1.2374369,0.45711622,0.5153882,-0.28284273,-0.45711622,0.6106401,-0.33104235,1.037749,-0.5535807,1.6903085,-0.7874008,-0.1118034,-0.33104235,-0.1118034
04\000019.png,4,-0.8505317,-0.49613893,0.82915616,-0.82915616,-0.5345225,1.3038404,0.8505317,0.80812204,0.45711622,0.5153882,-0.28284273,-0.45711622,-1.6376257,-0.33104235,-0.9636241,-0.5535807,-0.591608,1.2700013,-0.1118034,-0.33104235,-0.1118034
04\000020.png,4,-0.8505317,-0.49613893,0.82915616,-0.82915616,-0.5345225,1.3038404,0.8505317,0.80812204,0.45711622,0.5153882,3.535534,-0.45711622,-1.6376257,-0.33104235,-0.9636241,-0.5535807,-0.591608,1.2700013,-0.1118034,-0.33104235,-0.1118034
00\000021.png,0,1.1757351,-0.49613893,-1.2060454,1.2060454,-0.5345225,-0.766965,-1.1757351,0.80812204,0.45711622,0.5153882,-0.28284273,-0.45711622,0.6106401,-0.33104235,1.037749,-0.5535807,-0.591608,1.2700013,-0.1118034,-0.33104235,-0.1118034
05\000022.png,5,-0.8505317,-0.49613893,0.82915616,-0.82915616,1.8708287,-0.766965,-1.1757351,-1.2374369,-2.1876276,0.5153882,-0.28284273,-0.45711622,-1.6376257,-0.33104235,-0.9636241,-0.5535807,-0.591608,-0.7874008,-0.1118034,3.0207615,-0.1118034
00\000023.png,0,1.1757351,-0.49613893,-1.2060454,1.2060454,-0.5345225,-0.766965,-1.1757351,0.80812204,0.45711622,0.5153882,-0.28284273,-0.45711622,-1.6376257,-0.33104235,1.037749,-0.5535807,1.6903085,-0.7874008,-0.1118034,-0.33104235,-0.1118034
01\000024.png,1,-0.8505317,2.0155644,0.82915616,-0.82915616,1.8708287,1.3038404,0.8505317,-1.2374369,0.45711622,0.5153882,-0.28284273,-0.45711622,0.6106401,-0.33104235,-0.9636241,-0.5535807,1.6903085,-0.7874008,-0.1118034,-0.33104235,-0.1118034
03\000025.png,3,-0.8505317,-0.49613893,0.82915616,-0.82915616,-0.5345225,1.3038404,-1.1757351,0.80812204,0.45711622,-1.940285,-0.28284273,2.1876276,0.6106401,-0.33104235,-0.9636241,1.8064214,-0.591608,-0.7874008,-0.1118034,-0.33104235,-0.1118034
00\000026.png,0,1.1757351,-0.49613893,-1.2060454,1.2060454,-0.5345225,-0.766965,-1.1757351,0.80812204,0.45711622,0.5153882,-0.28284273,-0.45711622,0.6106401,-0.33104235,-0.9636241,-0.5535807,-0.591608,1.2700013,-0.1118034,-0.33104235,-0.1118034
03\000027.png,3,-0.8505317,-0.49613893,0.82915616,-0.82915616,-0.5345225,1.3038404,0.8505317,0.80812204,0.45711622,-1.940285,-0.28284273,2.1876276,0.6106401,-0.33104235,-0.9636241,1.8064214,-0.591608,-0.7874008,-0.1118034,-0.33104235,-0.1118034
05\000028.png,5,1.1757351,-0.49613893,0.82915616,-0.82915616,1.8708287,-0.766965,-1.1757351,-1.2374369,-2.1876276,0.5153882,3.535534,-0.45711622,-1.6376257,3.0207615,-0.9636241,-0.5535807,-0.591608,-0.7874008,-0.1118034,3.0207615,-0.1118034
01\000029.png,1,-0.8505317,2.0155644,0.82915616,-0.82915616,-0.5345225,-0.766965,0.8505317,-1.2374369,0.45711622,0.5153882,-0.28284273,-0.45711622,0.6106401,-0.33104235,-0.9636241,-0.5535807,1.6903085,-0.7874008,-0.1118034,-0.33104235,-0.1118034
05\000030.png,5,-0.8505317,-0.49613893,0.82915616,-0.82915616,1.8708287,-0.766965,0.8505317,-1.2374369,-2.1876276,0.5153882,-0.28284273,-0.45711622,-1.6376257,-0.33104235,-0.9636241,-0.5535807,-0.591608,-0.7874008,-0.1118034,3.0207615,-0.1118034
01\000031.png,1,-0.8505317,2.0155644,0.82915616,-0.82915616,1.8708287,-0.766965,-1.1757351,-1.2374369,0.45711622,0.5153882,-0.28284273,-0.45711622,0.6106401,-0.33104235,-0.9636241,-0.5535807,1.6903085,-0.7874008,-0.1118034,-0.33104235,-0.1118034
00\000032.png,0,1.1757351,-0.49613893,-1.2060454,1.2060454,-0.5345225,-0.766965,0.8505317,0.80812204,0.45711622,0.5153882,-0.28284273,-0.45711622,0.6106401,-0.33104235,1.037749,-0.5535807,-0.591608,1.2700013,-0.1118034,-0.33104235,-0.1118034
00\000033.png,0,1.1757351,-0.49613893,-1.2060454,1.2060454,-0.5345225,-0.766965,0.8505317,0.80812204,0.45711622,0.5153882,-0.28284273,-0.45711622,0.6106401,-0.33104235,1.037749,-0.5535807,-0.591608,1.2700013,-0.1118034,-0.33104235,-0.1118034
06\000034.png,6,-0.8505317,-0.49613893,0.82915616,-0.82915616,-0.5345225,1.3038404,0.8505317,-1.2374369,-2.1876276,-1.940285,-0.28284273,-0.45711622,-1.6376257,-0.33104235,-0.9636241,-0.5535807,-0.591608,-0.7874008,-0.1118034,3.0207615,-0.1118034
00\000035.png,0,1.1757351,-0.49613893,-1.2060454,1.2060454,-0.5345225,-0.766965,0.8505317,0.80812204,0.45711622,0.5153882,-0.28284273,-0.45711622,0.6106401,-0.33104235,1.037749,-0.5535807,-0.591608,1.2700013,-0.1118034,-0.33104235,-0.1118034
00\000036.png,0,1.1757351,-0.49613893,-1.2060454,1.2060454,-0.5345225,1.3038404,0.8505317,0.80812204,0.45711622,0.5153882,-0.28284273,-0.45711622,0.6106401,-0.33104235,1.037749,-0.5535807,-0.591608,1.2700013,-0.1118034,-0.33104235,-0.1118034
00\000037.png,0,1.1757351,-0.49613893,-1.2060454,1.2060454,-0.5345225,-0.766965,0.8505317,0.80812204,0.45711622,0.5153882,-0.28284273,-0.45711622,0.6106401,-0.33104235,1.037749,-0.5535807,-0.591608,1.2700013,-0.1118034,-0.33104235,-0.1118034
05\000038.png,5,1.1757351,-0.49613893,0.82915616,-0.82915616,1.8708287,-0.766965,-1.1757351,-1.2374369,-2.1876276,0.5153882,-0.28284273,-0.45711622,-1.6376257,-0.33104235,-0.9636241,-0.5535807,-0.591608,-0.7874008,-0.1118034,3.0207615,-0.1118034
04\000039.png,4,-0.8505317,-0.49613893,0.82915616,-0.82915616,-0.5345225,1.3038404,0.8505317,0.80812204,0.45711622,0.5153882,-0.28284273,-0.45711622,0.6106401,-0.33104235,-0.9636241,-0.5535807,-0.591608,1.2700013,-0.1118034,-0.33104235,-0.1118034
06\000040.png,6,-0.8505317,-0.49613893,0.82915616,-0.82915616,-0.5345225,1.3038404,0.8505317,-1.2374369,-2.1876276,-1.940285,-0.28284273,-0.45711622,-1.6376257,-0.33104235,1.037749,-0.5535807,-0.591608,-0.7874008,-0.1118034,-0.33104235,8.944272
00\000041.png,0,1.1757351,-0.49613893,-1.2060454,1.2060454,-0.5345225,-0.766965,0.8505317,0.80812204,0.45711622,0.5153882,-0.28284273,-0.45711622,0.6106401,-0.33104235,-0.9636241,-0.5535807,-0.591608,1.2700013,-0.1118034,-0.33104235,-0.1118034
00\000042.png,0,1.1757351,-0.49613893,-1.2060454,1.2060454,-0.5345225,-0.766965,-1.1757351,0.80812204,0.45711622,0.5153882,-0.28284273,-0.45711622,0.6106401,-0.33104235,1.037749,-0.5535807,-0.591608,1.2700013,-0.1118034,-0.33104235,-0.1118034
01\000043.png,1,-0.8505317,2.0155644,0.82915616,-0.82915616,-0.5345225,-0.766965,-1.1757351,-1.2374369,0.45711622,0.5153882,-0.28284273,-0.45711622,0.6106401,-0.33104235,1.037749,-0.5535807,1.6903085,-0.7874008,-0.1118034,-0.33104235,-0.1118034
01\000044.png,1,-0.8505317,2.0155644,0.82915616,-0.82915616,1.8708287,-0.766965,-1.1757351,-1.2374369,0.45711622,0.5153882,-0.28284273,-0.45711622,0.6106401,3.0207615,-0.9636241,-0.5535807,1.6903085,-0.7874008,-0.1118034,-0.33104235,-0.1118034
01\000045.png,1,-0.8505317,2.0155644,0.82915616,-0.82915616,-0.5345225,1.3038404,0.8505317,-1.2374369,0.45711622,0.5153882,-0.28284273,-0.45711622,0.6106401,-0.33104235,1.037749,-0.5535807,1.6903085,-0.7874008,-0.1118034,-0.33104235,-0.1118034
01\000046.png,1,-0.8505317,2.0155644,0.82915616,-0.82915616,1.8708287,-0.766965,-1.1757351,-1.2374369,0.45711622,0.5153882,-0.28284273,-0.45711622,0.6106401,-0.33104235,-0.9636241,-0.5535807,1.6903085,-0.7874008,-0.1118034,-0.33104235,-0.1118034
03\000047.png,3,-0.8505317,-0.49613893,0.82915616,-0.82915616,-0.5345225,1.3038404,0.8505317,0.80812204,0.45711622,-1.940285,-0.28284273,2.1876276,0.6106401,-0.33104235,1.037749,1.8064214,-0.591608,-0.7874008,-0.1118034,-0.33104235,-0.1118034
03\000048.png,3,-0.8505317,-0.49613893,0.82915616,-0.82915616,-0.5345225,1.3038404,0.8505317,0.80812204,0.45711622,-1.940285,-0.28284273,2.1876276,0.6106401,-0.33104235,-0.9636241,1.8064214,-0.591608,-0.7874008,-0.1118034,-0.33104235,-0.1118034
00\000049.png,0,1.1757351,-0.49613893,0.82915616,1.2060454,-0.5345225,1.3038404,0.8505317,-1.2374369,0.45711622,0.5153882,-0.28284273,-0.45711622,0.6106401,-0.33104235,1.037749,-0.5535807,-0.591608,1.2700013,-0.1118034,-0.33104235,-0.1118034
00\000050.png,0,1.1757351,-0.49613893,-1.2060454,1.2060454,-0.5345225,-0.766965,0.8505317,0.80812204,0.45711622,0.5153882,-0.28284273,-0.45711622,0.6106401,-0.33104235,1.037749,-0.5535807,-0.591608,1.2700013,-0.1118034,-0.33104235,-0.1118034
00\000051.png,0,1.1757351,-0.49613893,-1.2060454,1.2060454,-0.5345225,-0.766965,-1.1757351,0.80812204,0.45711622,0.5153882,-0.28284273,-0.45711622,0.6106401,3.0207615,1.037749,-0.5535807,-0.591608,1.2700013,-0.1118034,-0.33104235,-0.1118034
00\000052.png,0,-0.8505317,-0.49613893,-1.2060454,1.2060454,-0.5345225,1.3038404,0.8505317,0.80812204,0.45711622,0.5153882,-0.28284273,2.1876276,0.6106401,-0.33104235,1.037749,1.8064214,-0.591608,-0.7874008,-0.1118034,-0.33104235,-0.1118034
00\000053.png,0,1.1757351,-0.49613893,-1.2060454,1.2060454,-0.5345225,-0.766965,0.8505317,0.80812204,0.45711622,0.5153882,-0.28284273,-0.45711622,0.6106401,-0.33104235,1.037749,-0.5535807,-0.591608,1.2700013,-0.1118034,-0.33104235,-0.1118034
00\000054.png,0,1.1757351,-0.49613893,-1.2060454,1.2060454,-0.5345225,-0.766965,0.8505317,0.80812204,0.45711622,0.5153882,-0.28284273,-0.45711622,0.6106401,3.0207615,1.037749,-0.5535807,-0.591608,1.2700013,-0.1118034,-0.33104235,-0.1118034
00\000055.png,0,1.1757351,-0.49613893,-1.2060454,1.2060454,-0.5345225,-0.766965,0.8505317,0.80812204,0.45711622,0.5153882,-0.28284273,-0.45711622,0.6106401,-0.33104235,1.037749,-0.5535807,-0.591608,1.2700013,-0.1118034,-0.33104235,-0.1118034
01\000056.png,1,-0.8505317,2.0155644,0.82915616,-0.82915616,-0.5345225,-0.766965,0.8505317,-1.2374369,0.45711622,0.5153882,-0.28284273,-0.45711622,0.6106401,-0.33104235,1.037749,-0.5535807,1.6903085,-0.7874008,-0.1118034,-0.33104235,-0.1118034
00\000057.png,0,1.1757351,-0.49613893,-1.2060454,1.2060454,-0.5345225,1.3038404,0.8505317,0.80812204,0.45711622,0.5153882,-0.28284273,2.1876276,-1.6376257,-0.33104235,1.037749,1.8064214,-0.591608,-0.7874008,-0.1118034,-0.33104235,-0.1118034
00\000058.png,0,1.1757351,-0.49613893,-1.2060454,1.2060454,-0.5345225,1.3038404,0.8505317,0.80812204,0.45711622,0.5153882,-0.28284273,2.1876276,0.6106401,-0.33104235,1.037749,-0.5535807,1.6903085,-0.7874008,-0.1118034,-0.33104235,-0.1118034
02\000059.png,2,-0.8505317,-0.49613893,-1.2060454,-0.82915616,-0.5345225,1.3038404,0.8505317,0.80812204,0.45711622,-1.940285,3.535534,-0.45711622,0.6106401,-0.33104235,-0.9636241,1.8064214,-0.591608,-0.7874008,-0.1118034,-0.33104235,-0.1118034
06\000060.png,6,-0.8505317,-0.49613893,0.82915616,-0.82915616,-0.5345225,1.3038404,0.8505317,-1.2374369,-2.1876276,-1.940285,3.535534,-0.45711622,-1.6376257,-0.33104235,-0.9636241,1.8064214,-0.591608,-0.7874008,-0.1118034,-0.33104235,-0.1118034
01\000061.png,1,-0.8505317,2.0155644,0.82915616,-0.82915616,1.8708287,1.3038404,0.8505317,-1.2374369,0.45711622,0.5153882,-0.28284273,-0.45711622,0.6106401,-0.33104235,-0.9636241,-0.5535807,1.6903085,-0.7874008,-0.1118034,-0.33104235,-0.1118034
02\000062.png,2,-0.8505317,-0.49613893,0.82915616,-0.82915616,-0.5345225,-0.766965,0.8505317,0.80812204,0.45711622,0.5153882,-0.28284273,-0.45711622,0.6106401,-0.33104235,-0.9636241,1.8064214,-0.591608,-0.7874008,-0.1118034,-0.33104235,-0.1118034
06\000063.png,6,-0.8505317,-0.49613893,0.82915616,-0.82915616,-0.5345225,-0.766965,-1.1757351,-1.2374369,-2.1876276,0.5153882,-0.28284273,-0.45711622,-1.6376257,-0.33104235,-0.9636241,1.8064214,-0.591608,-0.7874008,-0.1118034,-0.33104235,-0.1118034
03\000064.png,3,-0.8505317,-0.49613893,0.82915616,-0.82915616,-0.5345225,1.3038404,-1.1757351,0.80812204,0.45711622,-1.940285,-0.28284273,2.1876276,0.6106401,-0.33104235,-0.9636241,1.8064214,-0.591608,-0.7874008,-0.1118034,-0.33104235,-0.1118034
01\000065.png,1,-0.8505317,2.0155644,0.82915616,-0.82915616,1.8708287,-0.766965,-1.1757351,-1.2374369,0.45711622,0.5153882,-0.28284273,-0.45711622,0.6106401,-0.33104235,-0.9636241,-0.5535807,1.6903085,-0.7874008,-0.1118034,-0.33104235,-0.1118034
00\000066.png,0,1.1757351,-0.49613893,-1.2060454,1.2060454,-0.5345225,-0.766965,-1.1757351,0.80812204,0.45711622,0.5153882,-0.28284273,-0.45711622,0.6106401,-0.33104235,-0.9636241,-0.5535807,1.6903085,-0.7874008,-0.1118034,-0.33104235,-0.1118034
06\000067.png,6,-0.8505317,-0.49613893,0.82915616,-0.82915616,-0.5345225,1.3038404,0.8505317,-1.2374369,-2.1876276,-1.940285,-0.28284273,-0.45711622,-1.6376257,-0.33104235,-0.9636241,-0.5535807,-0.591608,-0.7874008,8.944272,-0.33104235,-0.1118034
03\000068.png,3,-0.8505317,-0.49613893,0.82915616,-0.82915616,-0.5345225,1.3038404,0.8505317,0.80812204,0.45711622,-1.940285,3.535534,2.1876276,0.6106401,-0.33104235,1.037749,1.8064214,-0.591608,-0.7874008,-0.1118034,-0.33104235,-0.1118034
05\000069.png,5,-0.8505317,-0.49613893,0.82915616,-0.82915616,-0.5345225,-0.766965,-1.1757351,-1.2374369,-2.1876276,0.5153882,-0.28284273,-0.45711622,-1.6376257,-0.33104235,-0.9636241,-0.5535807,-0.591608,-0.7874008,-0.1118034,3.0207615,-0.1118034
04\000070.png,4,-0.8505317,-0.49613893,0.82915616,-0.82915616,-0.5345225,1.3038404,-1.1757351,0.80812204,0.45711622,0.5153882,-0.28284273,-0.45711622,-1.6376257,-0.33104235,-0.9636241,-0.5535807,-0.591608,1.2700013,-0.1118034,-0.33104235,-0.1118034
02\000071.png,2,-0.8505317,-0.49613893,0.82915616,-0.82915616,-0.5345225,-0.766965,-1.1757351,-1.2374369,0.45711622,0.5153882,-0.28284273,-0.45711622,0.6106401,-0.33104235,1.037749,-0.5535807,-0.591608,1.2700013,-0.1118034,-0.33104235,-0.1118034
02\000072.png,2,-0.8505317,-0.49613893,0.82915616,-0.82915616,-0.5345225,-0.766965,0.8505317,0.80812204,0.45711622,0.5153882,-0.28284273,-0.45711622,0.6106401,-0.33104235,-0.9636241,-0.5535807,-0.591608,1.2700013,-0.1118034,-0.33104235,-0.1118034
03\000073.png,3,-0.8505317,-0.49613893,0.82915616,-0.82915616,-0.5345225,1.3038404,0.8505317,0.80812204,0.45711622,-1.940285,-0.28284273,2.1876276,0.6106401,-0.33104235,1.037749,1.8064214,-0.591608,-0.7874008,-0.1118034,-0.33104235,-0.1118034
00\000074.png,0,1.1757351,-0.49613893,-1.2060454,1.2060454,1.8708287,-0.766965,-1.1757351,0.80812204,0.45711622,0.5153882,-0.28284273,-0.45711622,0.6106401,-0.33104235,-0.9636241,-0.5535807,1.6903085,-0.7874008,-0.1118034,-0.33104235,-0.1118034
