fold,method,model,accuracy,f1_score,auc_roc
0,traditional,svm,0.9167,0.9155,0.972
1,traditional,svm,0.9167,0.9161,0.8889
2,traditional,svm,0.9583,0.9583,1.0
3,traditional,svm,0.8333,0.8322,0.8889
4,traditional,svm,0.9167,0.9167,0.9861
0,traditional,random_forest,1.0,1.0,1.0
1,traditional,random_forest,1.0,1.0,1.0
2,traditional,random_forest,1.0,1.0,1.0
3,traditional,random_forest,1.0,1.0,1.0
4,traditional,random_forest,1.0,1.0,1.0
0,traditional,knn,0.875,0.8743,0.9476
1,traditional,knn,0.9583,0.9583,0.9826
2,traditional,knn,0.9583,0.9583,0.9306
3,traditional,knn,0.875,0.8748,0.9375
4,traditional,knn,1.0,1.0,1.0
0,traditional,decision_tree,1.0,1.0,1.0
1,traditional,decision_tree,1.0,1.0,1.0
2,traditional,decision_tree,1.0,1.0,1.0
3,traditional,decision_tree,1.0,1.0,1.0
4,traditional,decision_tree,1.0,1.0,1.0
