fold,method,model,accuracy,f1_score,auc_roc
0,tinto,efficientnet_v2_m,1.0,1.0,1.0
1,tinto,efficientnet_v2_m,1.0,1.0,1.0
2,tinto,efficientnet_v2_m,1.0,1.0,1.0
3,tinto,efficientnet_v2_m,1.0,1.0,1.0
4,tinto,efficientnet_v2_m,0.9167,0.9161,0.9931
0,tinto,mobilenet_v3_large,0.5833,0.5182,0.3077
1,tinto,mobilenet_v3_large,0.5,0.3333,0.5556
2,tinto,mobilenet_v3_large,0.6667,0.625,0.3333
3,tinto,mobilenet_v3_large,0.5417,0.4198,0.8264
4,tinto,mobilenet_v3_large,0.9583,0.9583,1.0
0,tinto,resnext50_32x4d,1.0,1.0,1.0
1,tinto,resnext50_32x4d,0.875,0.873,0.7708
2,tinto,resnext50_32x4d,1.0,1.0,1.0
3,tinto,resnext50_32x4d,1.0,1.0,1.0
4,tinto,resnext50_32x4d,1.0,1.0,1.0
0,tinto,densenet161,1.0,1.0,1.0
1,tinto,densenet161,1.0,1.0,1.0
2,tinto,densenet161,1.0,1.0,1.0
3,tinto,densenet161,1.0,1.0,1.0
4,tinto,densenet161,1.0,1.0,1.0
0,igtd,efficientnet_v2_m,0.8333,0.8333,0.8252
1,igtd,efficientnet_v2_m,1.0,1.0,1.0
2,igtd,efficientnet_v2_m,1.0,1.0,1.0
3,igtd,efficientnet_v2_m,0.9583,0.9583,0.9931
4,igtd,efficientnet_v2_m,1.0,1.0,1.0
0,igtd,mobilenet_v3_large,0.7917,0.792,0.7972
1,igtd,mobilenet_v3_large,0.625,0.5636,0.7361
2,igtd,mobilenet_v3_large,0.75,0.7429,0.7569
3,igtd,mobilenet_v3_large,0.5,0.3333,0.2431
4,igtd,mobilenet_v3_large,0.875,0.873,1.0
0,igtd,resnext50_32x4d,1.0,1.0,1.0
1,igtd,resnext50_32x4d,1.0,1.0,1.0
2,igtd,resnext50_32x4d,1.0,1.0,1.0
3,igtd,resnext50_32x4d,1.0,1.0,1.0
4,igtd,resnext50_32x4d,1.0,1.0,1.0
0,igtd,densenet161,1.0,1.0,1.0
1,igtd,densenet161,1.0,1.0,1.0
2,igtd,densenet161,0.8333,0.8322,0.8333
3,igtd,densenet161,1.0,1.0,1.0
4,igtd,densenet161,0.9583,0.9583,0.9375
0,supertml,efficientnet_v2_m,0.9167,0.9167,0.9371
1,supertml,efficientnet_v2_m,0.8333,0.8322,0.8125
2,supertml,efficientnet_v2_m,0.9583,0.9583,0.9583
3,supertml,efficientnet_v2_m,0.8333,0.8333,0.8611
4,supertml,efficientnet_v2_m,0.9583,0.9583,0.9931
0,supertml,mobilenet_v3_large,0.875,0.8752,0.965
1,supertml,mobilenet_v3_large,0.5417,0.4198,0.4861
2,supertml,mobilenet_v3_large,0.5,0.3333,0.9722
3,supertml,mobilenet_v3_large,0.7083,0.6951,0.7847
4,supertml,mobilenet_v3_large,0.5417,0.4198,0.2639
0,supertml,resnext50_32x4d,1.0,1.0,1.0
1,supertml,resnext50_32x4d,1.0,1.0,1.0
2,supertml,resnext50_32x4d,1.0,1.0,1.0
3,supertml,resnext50_32x4d,1.0,1.0,1.0
4,supertml,resnext50_32x4d,1.0,1.0,1.0
0,supertml,densenet161,1.0,1.0,1.0
1,supertml,densenet161,0.9167,0.9161,0.9514
2,supertml,densenet161,1.0,1.0,1.0
3,supertml,densenet161,1.0,1.0,1.0
4,supertml,densenet161,1.0,1.0,1.0
0,refined,efficientnet_v2_m,1.0,1.0,1.0
1,refined,efficientnet_v2_m,0.9583,0.9583,0.9861
2,refined,efficientnet_v2_m,0.875,0.8748,0.8819
3,refined,efficientnet_v2_m,1.0,1.0,1.0
4,refined,efficientnet_v2_m,0.8333,0.8286,0.875
0,refined,mobilenet_v3_large,0.9167,0.9167,0.9441
1,refined,mobilenet_v3_large,0.8333,0.8286,0.7222
2,refined,mobilenet_v3_large,0.8333,0.8286,0.9236
3,refined,mobilenet_v3_large,0.9167,0.9161,0.8819
4,refined,mobilenet_v3_large,0.7083,0.6812,0.9028
0,refined,resnext50_32x4d,1.0,1.0,1.0
1,refined,resnext50_32x4d,1.0,1.0,1.0
2,refined,resnext50_32x4d,1.0,1.0,1.0
3,refined,resnext50_32x4d,1.0,1.0,1.0
4,refined,resnext50_32x4d,1.0,1.0,1.0
0,refined,densenet161,1.0,1.0,1.0
1,refined,densenet161,0.8333,0.8286,0.8611
2,refined,densenet161,1.0,1.0,1.0
3,refined,densenet161,1.0,1.0,1.0
4,refined,densenet161,1.0,1.0,1.0
0,deepinsight,efficientnet_v2_m,1.0,1.0,1.0
1,deepinsight,efficientnet_v2_m,1.0,1.0,1.0
2,deepinsight,efficientnet_v2_m,0.9167,0.9167,0.9792
3,deepinsight,efficientnet_v2_m,1.0,1.0,1.0
4,deepinsight,efficientnet_v2_m,1.0,1.0,1.0
0,deepinsight,mobilenet_v3_large,0.6667,0.6619,0.5245
1,deepinsight,mobilenet_v3_large,0.5833,0.5833,0.7361
2,deepinsight,mobilenet_v3_large,0.7917,0.7822,0.8889
3,deepinsight,mobilenet_v3_large,0.75,0.7333,0.9028
4,deepinsight,mobilenet_v3_large,0.5,0.3333,0.8333
0,deepinsight,resnext50_32x4d,1.0,1.0,1.0
1,deepinsight,resnext50_32x4d,1.0,1.0,1.0
2,deepinsight,resnext50_32x4d,0.9167,0.9161,0.9792
3,deepinsight,resnext50_32x4d,1.0,1.0,1.0
4,deepinsight,resnext50_32x4d,1.0,1.0,1.0
0,deepinsight,densenet161,1.0,1.0,1.0
1,deepinsight,densenet161,1.0,1.0,1.0
2,deepinsight,densenet161,1.0,1.0,1.0
3,deepinsight,densenet161,1.0,1.0,1.0
4,deepinsight,densenet161,1.0,1.0,1.0
