dataset,method,metric,friedman_stat,friedman_p,significant,avg_rank,group
iris,knn,accuracy,93.4441,0.0000,True,2.1000,a
iris,svm,accuracy,93.4441,0.0000,True,2.9000,a
iris,decision_tree,accuracy,93.4441,0.0000,True,3.3000,a
iris,random_forest,accuracy,93.4441,0.0000,True,3.3000,a
iris,xgboost,accuracy,93.4441,0.0000,True,4.4000,a
iris,supertml+resnext50_32x4d,accuracy,93.4441,0.0000,True,8.4000,a
iris,refined+densenet161,accuracy,93.4441,0.0000,True,10.8000,a
iris,deepinsight+efficientnet_v2_m,accuracy,93.4441,0.0000,True,10.9000,a
iris,refined+efficientnet_v2_m,accuracy,93.4441,0.0000,True,11.4000,a
iris,igtd+densenet161,accuracy,93.4441,0.0000,True,11.5000,a
iris,tinto+densenet161,accuracy,93.4441,0.0000,True,12.6000,a
iris,supertml+densenet161,accuracy,93.4441,0.0000,True,12.9000,a
iris,refined+resnext50_32x4d,accuracy,93.4441,0.0000,True,12.9000,a
iris,deepinsight+densenet161,accuracy,93.4441,0.0000,True,13.9000,a
iris,igtd+resnext50_32x4d,accuracy,93.4441,0.0000,True,14.7000,a
iris,igtd+efficientnet_v2_m,accuracy,93.4441,0.0000,True,14.7000,a
iris,tinto+resnext50_32x4d,accuracy,93.4441,0.0000,True,15.7000,a
iris,refined+mobilenet_v3_large,accuracy,93.4441,0.0000,True,15.9000,a
iris,deepinsight+resnext50_32x4d,accuracy,93.4441,0.0000,True,16.2000,a
iris,tinto+efficientnet_v2_m,accuracy,93.4441,0.0000,True,16.6000,a
iris,igtd+mobilenet_v3_large,accuracy,93.4441,0.0000,True,17.9000,a
iris,supertml+efficientnet_v2_m,accuracy,93.4441,0.0000,True,20.5000,b
iris,deepinsight+mobilenet_v3_large,accuracy,93.4441,0.0000,True,23.0000,b
iris,tinto+mobilenet_v3_large,accuracy,93.4441,0.0000,True,24.0000,b
iris,supertml+mobilenet_v3_large,accuracy,93.4441,0.0000,True,24.5000,b
parkinsons,xgboost,accuracy,69.5587,0.0000,True,3.9000,a
parkinsons,refined+densenet161,accuracy,69.5587,0.0000,True,6.2000,a
parkinsons,igtd+densenet161,accuracy,69.5587,0.0000,True,6.8000,a
parkinsons,random_forest,accuracy,69.5587,0.0000,True,7.2000,a
parkinsons,deepinsight+mobilenet_v3_large,accuracy,69.5587,0.0000,True,8.4000,a
parkinsons,knn,accuracy,69.5587,0.0000,True,8.6000,a
parkinsons,svm,accuracy,69.5587,0.0000,True,8.7000,a
parkinsons,decision_tree,accuracy,69.5587,0.0000,True,9.4000,a
parkinsons,igtd+efficientnet_v2_m,accuracy,69.5587,0.0000,True,9.4000,a
parkinsons,tinto+densenet161,accuracy,69.5587,0.0000,True,9.9000,a
parkinsons,tinto+mobilenet_v3_large,accuracy,69.5587,0.0000,True,10.2000,a
parkinsons,tinto+efficientnet_v2_m,accuracy,69.5587,0.0000,True,11.2000,a
parkinsons,deepinsight+efficientnet_v2_m,accuracy,69.5587,0.0000,True,11.3000,a
parkinsons,igtd+mobilenet_v3_large,accuracy,69.5587,0.0000,True,11.4000,a
parkinsons,refined+efficientnet_v2_m,accuracy,69.5587,0.0000,True,12.7000,a
parkinsons,deepinsight+resnext50_32x4d,accuracy,69.5587,0.0000,True,16.1000,a
parkinsons,deepinsight+densenet161,accuracy,69.5587,0.0000,True,16.2000,a
parkinsons,tinto+resnext50_32x4d,accuracy,69.5587,0.0000,True,16.8000,a
parkinsons,refined+mobilenet_v3_large,accuracy,69.5587,0.0000,True,17.0000,a
parkinsons,refined+resnext50_32x4d,accuracy,69.5587,0.0000,True,17.6000,a
parkinsons,igtd+resnext50_32x4d,accuracy,69.5587,0.0000,True,19.7000,a
parkinsons,supertml+densenet161,accuracy,69.5587,0.0000,True,20.7000,a
parkinsons,supertml+mobilenet_v3_large,accuracy,69.5587,0.0000,True,21.4000,b
parkinsons,supertml+efficientnet_v2_m,accuracy,69.5587,0.0000,True,21.8000,b
parkinsons,supertml+resnext50_32x4d,accuracy,69.5587,0.0000,True,22.4000,b
hepatitis,decision_tree,accuracy,33.0048,0.1040,False,,n.s.
hepatitis,deepinsight+densenet161,accuracy,33.0048,0.1040,False,,n.s.
