dataset,method,accuracy_mean,accuracy_std,f1_score_mean,f1_score_std,auc_roc_mean,auc_roc_std
iris,knn,0.9733,0.0279,0.9733,0.0279,0.9902,0.0130
iris,svm,0.9600,0.0435,0.9599,0.0436,0.9957,0.0062
iris,decision_tree,0.9533,0.0380,0.9531,0.0382,0.9650,0.0285
iris,random_forest,0.9533,0.0380,0.9531,0.0382,0.9945,0.0080
iris,xgboost,0.9400,0.0365,0.9389,0.0380,0.9687,0.0319
iris,supertml+resnext50_32x4d,0.8866,0.1043,0.8858,0.1059,0.9470,0.0581
iris,igtd+densenet161,0.8400,0.0683,0.8373,0.0709,0.9067,0.0322
iris,refined+densenet161,0.8400,0.0365,0.8341,0.0388,0.8987,0.0364
iris,deepinsight+efficientnet_v2_m,0.8400,0.0548,0.8316,0.0684,0.8943,0.0410
iris,tinto+densenet161,0.8267,0.0760,0.8237,0.0767,0.8973,0.0410
iris,refined+efficientnet_v2_m,0.8267,0.0760,0.8231,0.0808,0.8907,0.0389
iris,supertml+densenet161,0.8200,0.1169,0.8175,0.1182,0.9000,0.0806
iris,refined+resnext50_32x4d,0.8133,0.0298,0.8117,0.0321,0.9050,0.0342
iris,igtd+resnext50_32x4d,0.8000,0.0745,0.7935,0.0770,0.8990,0.0407
iris,deepinsight+densenet161,0.7933,0.0760,0.7834,0.0846,0.8817,0.0397
iris,igtd+efficientnet_v2_m,0.7867,0.0380,0.7772,0.0450,0.8670,0.0315
iris,deepinsight+resnext50_32x4d,0.7800,0.0837,0.7762,0.0844,0.8737,0.0265
iris,tinto+efficientnet_v2_m,0.7667,0.1000,0.7314,0.1369,0.8580,0.1170
iris,tinto+resnext50_32x4d,0.7667,0.0707,0.7581,0.0727,0.8633,0.0440
iris,refined+mobilenet_v3_large,0.7600,0.0548,0.7476,0.0673,0.8790,0.0276
iris,igtd+mobilenet_v3_large,0.7333,0.0707,0.7084,0.1089,0.8430,0.0453
iris,supertml+efficientnet_v2_m,0.6733,0.1038,0.6397,0.1411,0.8013,0.0586
iris,deepinsight+mobilenet_v3_large,0.5667,0.1354,0.4411,0.1565,0.6823,0.1527
iris,tinto+mobilenet_v3_large,0.4933,0.0279,0.3935,0.0384,0.6140,0.1671
iris,supertml+mobilenet_v3_large,0.4600,0.0596,0.3545,0.0735,0.6174,0.1085
parkinsons,xgboost,0.9282,0.0525,0.9263,0.0550,0.9737,0.0221
parkinsons,igtd+densenet161,0.9180,0.1000,0.8946,0.1476,0.8628,0.3050
parkinsons,deepinsight+mobilenet_v3_large,0.8974,0.0976,0.8702,0.1423,0.8837,0.1315
parkinsons,refined+densenet161,0.8923,0.0778,0.8720,0.1030,0.9656,0.0312
parkinsons,random_forest,0.8872,0.0693,0.8789,0.0800,0.9616,0.0317
parkinsons,knn,0.8872,0.0292,0.8860,0.0271,0.9717,0.0113
parkinsons,igtd+efficientnet_v2_m,0.8769,0.0639,0.8531,0.0950,0.9328,0.0670
parkinsons,tinto+mobilenet_v3_large,0.8718,0.0811,0.8485,0.1263,0.8145,0.3089
parkinsons,svm,0.8718,0.0601,0.8516,0.0799,0.8906,0.0686
parkinsons,tinto+densenet161,0.8667,0.0493,0.8424,0.0696,0.9896,0.0106
parkinsons,decision_tree,0.8615,0.0590,0.8628,0.0539,0.8242,0.0509
parkinsons,deepinsight+efficientnet_v2_m,0.8615,0.1184,0.8375,0.1400,0.9035,0.1087
parkinsons,igtd+mobilenet_v3_large,0.8513,0.0585,0.8216,0.0886,0.7914,0.1807
parkinsons,tinto+efficientnet_v2_m,0.8462,0.0702,0.8165,0.0948,0.7578,0.2581
parkinsons,refined+efficientnet_v2_m,0.8410,0.0778,0.7979,0.1182,0.8260,0.2486
parkinsons,deepinsight+densenet161,0.8051,0.0716,0.7410,0.1102,0.9649,0.0404
parkinsons,deepinsight+resnext50_32x4d,0.8051,0.0693,0.7411,0.1064,0.8233,0.3736
parkinsons,refined+mobilenet_v3_large,0.8000,0.0638,0.7322,0.1065,0.7097,0.3912
parkinsons,refined+resnext50_32x4d,0.8000,0.0585,0.7348,0.1005,0.7357,0.2690
parkinsons,tinto+resnext50_32x4d,0.7897,0.0215,0.7234,0.0349,0.9799,0.0251
parkinsons,igtd+resnext50_32x4d,0.7744,0.0422,0.6885,0.0745,0.7399,0.2717
parkinsons,supertml+mobilenet_v3_large,0.7641,0.0334,0.6800,0.0844,0.5881,0.1748
parkinsons,supertml+densenet161,0.7590,0.0140,0.6593,0.0245,0.5725,0.2372
parkinsons,supertml+efficientnet_v2_m,0.7590,0.0229,0.6593,0.0396,0.4912,0.0974
parkinsons,supertml+resnext50_32x4d,0.7538,0.0140,0.6481,0.0190,0.3407,0.1138
hepatitis,knn,0.8452,0.0620,0.8375,0.0604,0.8621,0.0618
hepatitis,svm,0.8451,0.0661,0.8319,0.0732,0.8619,0.0610
hepatitis,random_forest,0.8323,0.1005,0.8240,0.0996,0.8701,0.0649
hepatitis,deepinsight+mobilenet_v3_large,0.8194,0.0368,0.7578,0.0704,0.5515,0.0745
hepatitis,refined+mobilenet_v3_large,0.8194,0.0489,0.7644,0.0823,0.5922,0.1544
hepatitis,xgboost,0.8129,0.0895,0.8101,0.0875,0.8000,0.0702
hepatitis,tinto+efficientnet_v2_m,0.8065,0.0228,0.7297,0.0411,0.6026,0.2607
hepatitis,refined+efficientnet_v2_m,0.8065,0.0323,0.7389,0.0488,0.5012,0.2273
hepatitis,deepinsight+efficientnet_v2_m,0.8065,0.0228,0.7387,0.0583,0.6344,0.1292
hepatitis,supertml+efficientnet_v2_m,0.8000,0.0270,0.7160,0.0462,0.6277,0.1536
hepatitis,igtd+efficientnet_v2_m,0.8000,0.0270,0.7160,0.0462,0.5049,0.1026
hepatitis,deepinsight+resnext50_32x4d,0.8000,0.0270,0.7160,0.0462,0.6001,0.1257
hepatitis,supertml+resnext50_32x4d,0.7936,0.0177,0.7113,0.0374,0.4759,0.2397
hepatitis,tinto+resnext50_32x4d,0.7936,0.0177,0.7023,0.0243,0.6003,0.0983
hepatitis,tinto+mobilenet_v3_large,0.7936,0.0177,0.7171,0.0266,0.4731,0.2018
hepatitis,tinto+densenet161,0.7936,0.0177,0.7023,0.0243,0.3761,0.1770
hepatitis,igtd+resnext50_32x4d,0.7936,0.0177,0.7023,0.0243,0.4296,0.1697
hepatitis,igtd+mobilenet_v3_large,0.7936,0.0177,0.7116,0.0201,0.4032,0.0933
hepatitis,supertml+densenet161,0.7936,0.0177,0.7023,0.0243,0.5293,0.1469
hepatitis,refined+resnext50_32x4d,0.7936,0.0177,0.7171,0.0266,0.6277,0.0934
hepatitis,igtd+densenet161,0.7936,0.0177,0.7023,0.0243,0.4249,0.1732
hepatitis,deepinsight+densenet161,0.7936,0.0177,0.7023,0.0243,0.4440,0.2116
hepatitis,refined+densenet161,0.7936,0.0177,0.7116,0.0201,0.5369,0.0583
hepatitis,supertml+mobilenet_v3_large,0.7807,0.0421,0.7123,0.0206,0.4950,0.2117
hepatitis,decision_tree,0.7677,0.0895,0.7679,0.0851,0.6478,0.1014
acute_inflammations,knn,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000
acute_inflammations,tinto+densenet161,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000
acute_inflammations,svm,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000
acute_inflammations,supertml+resnext50_32x4d,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000
acute_inflammations,refined+resnext50_32x4d,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000
acute_inflammations,deepinsight+densenet161,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000
acute_inflammations,random_forest,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000
acute_inflammations,igtd+resnext50_32x4d,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000
acute_inflammations,decision_tree,0.9917,0.0186,0.9916,0.0187,0.9909,0.0203
acute_inflammations,xgboost,0.9917,0.0186,0.9916,0.0187,1.0000,0.0000
acute_inflammations,supertml+densenet161,0.9833,0.0373,0.9832,0.0375,0.9903,0.0217
acute_inflammations,deepinsight+resnext50_32x4d,0.9833,0.0373,0.9832,0.0375,0.9958,0.0093
acute_inflammations,deepinsight+efficientnet_v2_m,0.9833,0.0373,0.9833,0.0373,0.9958,0.0093
acute_inflammations,tinto+efficientnet_v2_m,0.9833,0.0373,0.9832,0.0375,0.9986,0.0031
acute_inflammations,tinto+resnext50_32x4d,0.9750,0.0559,0.9746,0.0568,0.9542,0.1025
acute_inflammations,refined+densenet161,0.9667,0.0746,0.9657,0.0767,0.9722,0.0621
acute_inflammations,igtd+efficientnet_v2_m,0.9583,0.0722,0.9583,0.0722,0.9637,0.0775
acute_inflammations,igtd+densenet161,0.9583,0.0722,0.9581,0.0727,0.9542,0.0728
acute_inflammations,refined+efficientnet_v2_m,0.9333,0.0757,0.9323,0.0773,0.9486,0.0643
acute_inflammations,supertml+efficientnet_v2_m,0.9000,0.0632,0.8998,0.0635,0.9124,0.0739
acute_inflammations,refined+mobilenet_v3_large,0.8417,0.0854,0.8342,0.0962,0.8749,0.0885
acute_inflammations,igtd+mobilenet_v3_large,0.7083,0.1473,0.6610,0.2155,0.7067,0.2795
acute_inflammations,deepinsight+mobilenet_v3_large,0.6583,0.1193,0.6188,0.1764,0.7771,0.1557
acute_inflammations,tinto+mobilenet_v3_large,0.6500,0.1830,0.5709,0.2424,0.6046,0.3040
acute_inflammations,supertml+mobilenet_v3_large,0.6333,0.1570,0.5486,0.2279,0.6944,0.3112
zoo,random_forest,0.9800,0.0274,0.9724,0.0379,1.0000,0.0000
zoo,xgboost,0.9705,0.0270,0.9597,0.0369,1.0000,0.0000
zoo,svm,0.9605,0.0417,0.9526,0.0459,0.9942,0.0050
zoo,decision_tree,0.9405,0.0549,0.9326,0.0551,0.9671,0.0339
zoo,knn,0.9119,0.0707,0.9051,0.0727,0.9980,0.0025
zoo,refined+resnext50_32x4d,0.7919,0.0826,0.7295,0.1103,0.9783,0.0085
zoo,igtd+resnext50_32x4d,0.7424,0.0556,0.6590,0.0667,0.9732,0.0198
zoo,igtd+efficientnet_v2_m,0.7419,0.0911,0.6560,0.1002,0.8457,0.0821
zoo,supertml+resnext50_32x4d,0.7333,0.1124,0.6524,0.1333,0.9728,0.0194
zoo,igtd+densenet161,0.7033,0.1309,0.6120,0.1675,0.9318,0.0401
zoo,deepinsight+resnext50_32x4d,0.6910,0.1651,0.5929,0.1945,0.9316,0.0842
zoo,refined+densenet161,0.6814,0.1327,0.5907,0.1658,0.8604,0.2388
zoo,tinto+resnext50_32x4d,0.6814,0.1373,0.5855,0.1651,0.9354,0.0555
zoo,refined+efficientnet_v2_m,0.6733,0.0560,0.5802,0.0792,0.9448,0.0199
zoo,tinto+efficientnet_v2_m,0.6724,0.0936,0.5793,0.1216,0.8746,0.0799
zoo,deepinsight+efficientnet_v2_m,0.6314,0.1468,0.5388,0.1823,0.9235,0.0356
zoo,deepinsight+densenet161,0.6029,0.0671,0.4778,0.0760,0.8946,0.1538
zoo,tinto+densenet161,0.6019,0.1572,0.4877,0.1866,0.8313,0.3041
zoo,supertml+efficientnet_v2_m,0.5352,0.0484,0.4081,0.0458,0.6584,0.1728
zoo,deepinsight+mobilenet_v3_large,0.5257,0.1192,0.4322,0.1490,0.6675,0.1417
zoo,supertml+densenet161,0.4938,0.0887,0.3618,0.1126,0.8679,0.1107
zoo,igtd+mobilenet_v3_large,0.4648,0.0927,0.3257,0.1332,0.5199,0.1995
zoo,refined+mobilenet_v3_large,0.4157,0.0228,0.2564,0.0351,0.4572,0.1134
zoo,supertml+mobilenet_v3_large,0.4152,0.0341,0.2675,0.0870,0.6280,0.0502
zoo,tinto+mobilenet_v3_large,0.4057,0.0128,0.2812,0.0515,0.5106,0.1268
hayes_roth,svm,0.8313,0.0523,0.8291,0.0544,0.9267,0.0317
hayes_roth,decision_tree,0.7875,0.0513,0.7847,0.0541,0.8939,0.0444
hayes_roth,random_forest,0.7875,0.0513,0.7846,0.0526,0.9099,0.0270
hayes_roth,xgboost,0.7875,0.0464,0.7875,0.0450,0.9490,0.0221
hayes_roth,supertml+densenet161,0.7188,0.0585,0.6663,0.0887,0.8782,0.0391
hayes_roth,refined+resnext50_32x4d,0.6875,0.0663,0.6689,0.0874,0.7936,0.0757
hayes_roth,deepinsight+densenet161,0.6750,0.0844,0.6379,0.1163,0.8047,0.0806
hayes_roth,deepinsight+efficientnet_v2_m,0.6687,0.0784,0.6062,0.0833,0.7872,0.0933
hayes_roth,supertml+efficientnet_v2_m,0.6625,0.0464,0.6078,0.0443,0.8285,0.0232
hayes_roth,deepinsight+resnext50_32x4d,0.6625,0.0677,0.6048,0.0777,0.8195,0.0807
hayes_roth,refined+densenet161,0.6375,0.1118,0.5985,0.1261,0.7034,0.0723
hayes_roth,tinto+resnext50_32x4d,0.6375,0.0720,0.5741,0.0796,0.7717,0.0730
hayes_roth,supertml+resnext50_32x4d,0.6188,0.1114,0.5713,0.1598,0.8114,0.1602
hayes_roth,tinto+efficientnet_v2_m,0.6063,0.0356,0.5404,0.0300,0.7356,0.0641
hayes_roth,tinto+densenet161,0.6000,0.0867,0.5401,0.0947,0.7448,0.1071
hayes_roth,igtd+resnext50_32x4d,0.5813,0.0357,0.5111,0.0410,0.7304,0.0572
hayes_roth,refined+efficientnet_v2_m,0.5812,0.0568,0.5320,0.0580,0.6333,0.0994
hayes_roth,igtd+densenet161,0.5625,0.0797,0.5018,0.0753,0.6914,0.0910
hayes_roth,igtd+efficientnet_v2_m,0.5188,0.0753,0.4514,0.0787,0.6193,0.0332
hayes_roth,tinto+mobilenet_v3_large,0.5188,0.0648,0.4504,0.0841,0.6181,0.0852
hayes_roth,igtd+mobilenet_v3_large,0.5125,0.0719,0.4523,0.0757,0.5529,0.1280
hayes_roth,deepinsight+mobilenet_v3_large,0.4937,0.0746,0.3769,0.1112,0.5448,0.1035
hayes_roth,knn,0.4875,0.1140,0.4842,0.1148,0.6353,0.0525
hayes_roth,refined+mobilenet_v3_large,0.4875,0.0474,0.4118,0.0954,0.6120,0.0833
hayes_roth,supertml+mobilenet_v3_large,0.4875,0.0474,0.3954,0.0801,0.6093,0.0765
