fold,method,model,accuracy,f1_score,auc_roc
0,traditional,svm,0.875,0.875,0.9688
1,traditional,svm,0.8125,0.8114,0.8997
2,traditional,svm,0.75,0.7439,0.9424
3,traditional,svm,0.875,0.8743,0.8914
4,traditional,svm,0.8438,0.8407,0.931
0,traditional,random_forest,0.75,0.7451,0.9326
1,traditional,random_forest,0.7188,0.7144,0.8799
2,traditional,random_forest,0.8125,0.8114,0.9342
3,traditional,random_forest,0.8125,0.8114,0.9211
4,traditional,random_forest,0.8438,0.8407,0.8817
0,traditional,knn,0.4375,0.4513,0.6291
1,traditional,knn,0.375,0.3507,0.5485
2,traditional,knn,0.625,0.6159,0.6859
3,traditional,knn,0.5938,0.5908,0.6587
4,traditional,knn,0.4062,0.4125,0.6542
0,traditional,decision_tree,0.8125,0.814,0.9268
1,traditional,decision_tree,0.8438,0.8416,0.9013
2,traditional,decision_tree,0.75,0.7439,0.8947
3,traditional,decision_tree,0.8125,0.8114,0.9276
4,traditional,decision_tree,0.7188,0.7124,0.8189
