fold,method,model,accuracy,f1_score,auc_roc
0,tinto,efficientnet_v2_m,0.5938,0.5323,0.7482
1,tinto,efficientnet_v2_m,0.6562,0.5853,0.7951
2,tinto,efficientnet_v2_m,0.5938,0.5337,0.7534
3,tinto,efficientnet_v2_m,0.5625,0.5028,0.6259
4,tinto,efficientnet_v2_m,0.625,0.5479,0.7554
0,tinto,mobilenet_v3_large,0.5938,0.5523,0.6562
1,tinto,mobilenet_v3_large,0.4375,0.3878,0.5059
2,tinto,mobilenet_v3_large,0.5625,0.5026,0.7355
3,tinto,mobilenet_v3_large,0.4688,0.3452,0.608
4,tinto,mobilenet_v3_large,0.5312,0.4639,0.585
0,tinto,resnext50_32x4d,0.7188,0.6455,0.8233
1,tinto,resnext50_32x4d,0.6562,0.5884,0.7802
2,tinto,resnext50_32x4d,0.5625,0.498,0.7953
3,tinto,resnext50_32x4d,0.6875,0.6537,0.8152
4,tinto,resnext50_32x4d,0.5625,0.4851,0.6446
0,tinto,densenet161,0.6562,0.588,0.842
1,tinto,densenet161,0.5,0.4427,0.649
2,tinto,densenet161,0.7188,0.681,0.8516
3,tinto,densenet161,0.5625,0.498,0.7612
4,tinto,densenet161,0.5625,0.4908,0.6201
0,igtd,efficientnet_v2_m,0.5,0.3995,0.5814
1,igtd,efficientnet_v2_m,0.625,0.5629,0.6513
2,igtd,efficientnet_v2_m,0.4688,0.4166,0.6419
3,igtd,efficientnet_v2_m,0.5625,0.503,0.6366
4,igtd,efficientnet_v2_m,0.4375,0.3752,0.5855
0,igtd,mobilenet_v3_large,0.4375,0.4068,0.3948
1,igtd,mobilenet_v3_large,0.625,0.5576,0.7348
2,igtd,mobilenet_v3_large,0.5,0.4778,0.6025
3,igtd,mobilenet_v3_large,0.4688,0.3572,0.4823
4,igtd,mobilenet_v3_large,0.5312,0.4619,0.55
0,igtd,resnext50_32x4d,0.5938,0.5293,0.7698
1,igtd,resnext50_32x4d,0.5312,0.4488,0.6424
2,igtd,resnext50_32x4d,0.5625,0.5026,0.7592
3,igtd,resnext50_32x4d,0.625,0.5603,0.7775
4,igtd,resnext50_32x4d,0.5938,0.5147,0.7029
