fold,method,model,accuracy,f1_score,auc_roc
0,tinto,efficientnet_v2_m,0.4688,0.3963,0.6306
1,tinto,efficientnet_v2_m,0.6562,0.5881,0.7465
2,tinto,efficientnet_v2_m,0.5938,0.5337,0.8154
3,tinto,efficientnet_v2_m,0.5625,0.5026,0.5951
4,tinto,efficientnet_v2_m,0.625,0.5474,0.7327
0,tinto,mobilenet_v3_large,0.4688,0.354,0.5692
1,tinto,mobilenet_v3_large,0.4375,0.2936,0.6249
2,tinto,mobilenet_v3_large,0.625,0.5591,0.692
3,tinto,mobilenet_v3_large,0.5,0.4412,0.5087
4,tinto,mobilenet_v3_large,0.5,0.4079,0.4558
0,tinto,resnext50_32x4d,0.6875,0.6113,0.9132
1,tinto,resnext50_32x4d,0.6562,0.5853,0.731
2,tinto,resnext50_32x4d,0.6875,0.6205,0.8052
3,tinto,resnext50_32x4d,0.6875,0.6152,0.8217
4,tinto,resnext50_32x4d,0.6562,0.5747,0.7201
0,tinto,densenet161,0.7188,0.6455,0.8445
1,tinto,densenet161,0.5625,0.501,0.6378
2,tinto,densenet161,0.7188,0.7161,0.8401
3,tinto,densenet161,0.5625,0.4898,0.3957
4,tinto,densenet161,0.6562,0.5748,0.8002
0,igtd,efficientnet_v2_m,0.5312,0.4759,0.6298
1,igtd,efficientnet_v2_m,0.625,0.5949,0.7243
2,igtd,efficientnet_v2_m,0.6562,0.59,0.8136
3,igtd,efficientnet_v2_m,0.5312,0.4832,0.5743
4,igtd,efficientnet_v2_m,0.5,0.4304,0.6253
0,igtd,mobilenet_v3_large,0.4375,0.2981,0.4939
1,igtd,mobilenet_v3_large,0.5625,0.4898,0.559
2,igtd,mobilenet_v3_large,0.5,0.4243,0.5039
3,igtd,mobilenet_v3_large,0.5,0.4695,0.6717
4,igtd,mobilenet_v3_large,0.375,0.269,0.5939
0,igtd,resnext50_32x4d,0.5,0.432,0.5407
1,igtd,resnext50_32x4d,0.625,0.5605,0.753
2,igtd,resnext50_32x4d,0.5938,0.5657,0.7968
3,igtd,resnext50_32x4d,0.7188,0.6444,0.8054
4,igtd,resnext50_32x4d,0.5625,0.4939,0.6379
0,igtd,densenet161,0.625,0.5605,0.7073
1,igtd,densenet161,0.6875,0.6537,0.7649
2,igtd,densenet161,0.6562,0.5892,0.7597
3,igtd,densenet161,0.5938,0.5682,0.694
4,igtd,densenet161,0.4375,0.3856,0.6255
0,supertml,efficientnet_v2_m,0.75,0.6732,0.8849
1,supertml,efficientnet_v2_m,0.4375,0.3764,0.6157
2,supertml,efficientnet_v2_m,0.5625,0.5003,0.7241
3,supertml,efficientnet_v2_m,0.6562,0.6193,0.7664
4,supertml,efficientnet_v2_m,0.6562,0.5757,0.8757
0,supertml,mobilenet_v3_large,0.4062,0.2347,0.4504
1,supertml,mobilenet_v3_large,0.4062,0.2347,0.4224
2,supertml,mobilenet_v3_large,0.4062,0.2347,0.5287
3,supertml,mobilenet_v3_large,0.4375,0.392,0.5269
4,supertml,mobilenet_v3_large,0.375,0.2045,0.563
0,supertml,resnext50_32x4d,0.6562,0.5892,0.8081
1,supertml,resnext50_32x4d,0.6875,0.6193,0.7118
2,supertml,resnext50_32x4d,0.7188,0.7029,0.8849
3,supertml,resnext50_32x4d,0.7188,0.7031,0.8491
4,supertml,resnext50_32x4d,0.6562,0.5745,0.8421
0,supertml,densenet161,0.7188,0.6442,0.9018
1,supertml,densenet161,0.7812,0.7625,0.9145
2,supertml,densenet161,0.7812,0.775,0.9046
3,supertml,densenet161,0.7812,0.7612,0.9166
4,supertml,densenet161,0.75,0.697,0.9013
0,refined,efficientnet_v2_m,0.4688,0.4203,0.6312
1,refined,efficientnet_v2_m,0.625,0.5547,0.5955
2,refined,efficientnet_v2_m,0.4375,0.4287,0.5609
3,refined,efficientnet_v2_m,0.7188,0.681,0.6809
4,refined,efficientnet_v2_m,0.4688,0.4125,0.4854
0,refined,mobilenet_v3_large,0.4375,0.3095,0.4524
1,refined,mobilenet_v3_large,0.5625,0.4983,0.6222
