fold,method,model,accuracy,f1_score,auc_roc
0,traditional,svm,0.9032,0.8998,0.9
1,traditional,svm,0.8387,0.833,0.94
2,traditional,svm,0.9032,0.8998,0.76
3,traditional,svm,0.871,0.8501,0.8929
4,traditional,svm,0.7419,0.7256,0.7738
0,traditional,random_forest,0.871,0.871,0.8967
1,traditional,random_forest,0.8387,0.833,0.9167
2,traditional,random_forest,0.9032,0.8998,0.83
3,traditional,random_forest,0.8065,0.7752,0.8423
4,traditional,random_forest,0.7742,0.7678,0.8095
0,traditional,knn,0.9032,0.8998,0.86
1,traditional,knn,0.8065,0.7908,0.82
2,traditional,knn,0.8387,0.833,0.8167
3,traditional,knn,0.871,0.8501,0.8036
4,traditional,knn,0.7742,0.7793,0.7976
0,traditional,decision_tree,0.871,0.871,0.7933
1,traditional,decision_tree,0.7742,0.7806,0.67
2,traditional,decision_tree,0.8065,0.7908,0.6267
3,traditional,decision_tree,0.6452,0.6532,0.5179
4,traditional,decision_tree,0.6452,0.6646,0.5685
