fold,method,model,accuracy,f1_score,auc_roc
0,tinto,efficientnet_v2_m,0.8065,0.72,0.4
1,tinto,efficientnet_v2_m,0.8387,0.7884,0.9067
2,tinto,efficientnet_v2_m,0.8065,0.72,0.5933
3,tinto,efficientnet_v2_m,0.8065,0.7446,0.8155
4,tinto,efficientnet_v2_m,0.7742,0.6757,0.2976
0,tinto,mobilenet_v3_large,0.8065,0.72,0.6333
1,tinto,mobilenet_v3_large,0.8065,0.72,0.1867
2,tinto,mobilenet_v3_large,0.8065,0.72,0.5933
3,tinto,mobilenet_v3_large,0.7742,0.75,0.619
4,tinto,mobilenet_v3_large,0.7742,0.6757,0.3333
0,tinto,resnext50_32x4d,0.8065,0.72,0.6267
1,tinto,resnext50_32x4d,0.8065,0.72,0.5067
2,tinto,resnext50_32x4d,0.8065,0.72,0.6
3,tinto,resnext50_32x4d,0.7742,0.6757,0.5179
4,tinto,resnext50_32x4d,0.7742,0.6757,0.75
0,tinto,densenet161,0.8065,0.72,0.36
1,tinto,densenet161,0.8065,0.72,0.4267
2,tinto,densenet161,0.8065,0.72,0.32
3,tinto,densenet161,0.7742,0.6757,0.631
4,tinto,densenet161,0.7742,0.6757,0.1429
0,igtd,efficientnet_v2_m,0.8065,0.72,0.6
1,igtd,efficientnet_v2_m,0.8387,0.7884,0.5333
2,igtd,efficientnet_v2_m,0.8065,0.72,0.3733
3,igtd,efficientnet_v2_m,0.7742,0.6757,0.4226
4,igtd,efficientnet_v2_m,0.7742,0.6757,0.5952
0,igtd,mobilenet_v3_large,0.8065,0.72,0.46
1,igtd,mobilenet_v3_large,0.8065,0.72,0.48
2,igtd,mobilenet_v3_large,0.8065,0.72,0.2667
3,igtd,mobilenet_v3_large,0.7742,0.6757,0.3452
4,igtd,mobilenet_v3_large,0.7742,0.7221,0.4643
0,igtd,resnext50_32x4d,0.8065,0.72,0.6533
1,igtd,resnext50_32x4d,0.8065,0.72,0.3733
2,igtd,resnext50_32x4d,0.8065,0.72,0.1867
3,igtd,resnext50_32x4d,0.7742,0.6757,0.4762
4,igtd,resnext50_32x4d,0.7742,0.6757,0.4583
0,igtd,densenet161,0.8065,0.72,0.26
1,igtd,densenet161,0.8065,0.72,0.3333
2,igtd,densenet161,0.8065,0.72,0.4
3,igtd,densenet161,0.7742,0.6757,0.7143
4,igtd,densenet161,0.7742,0.6757,0.4167
0,supertml,efficientnet_v2_m,0.8065,0.72,0.6333
1,supertml,efficientnet_v2_m,0.8065,0.72,0.3733
2,supertml,efficientnet_v2_m,0.8387,0.7884,0.7867
3,supertml,efficientnet_v2_m,0.7742,0.6757,0.6607
4,supertml,efficientnet_v2_m,0.7742,0.6757,0.6845
0,supertml,mobilenet_v3_large,0.8065,0.72,0.7067
1,supertml,mobilenet_v3_large,0.8065,0.72,0.5667
2,supertml,mobilenet_v3_large,0.8065,0.72,0.3267
3,supertml,mobilenet_v3_large,0.7097,0.7256,0.6548
4,supertml,mobilenet_v3_large,0.7742,0.6757,0.2202
0,supertml,resnext50_32x4d,0.8065,0.7652,0.8467
1,supertml,resnext50_32x4d,0.8065,0.72,0.2467
2,supertml,resnext50_32x4d,0.8065,0.72,0.28
3,supertml,resnext50_32x4d,0.7742,0.6757,0.506
4,supertml,resnext50_32x4d,0.7742,0.6757,0.5
0,supertml,densenet161,0.8065,0.72,0.3867
1,supertml,densenet161,0.8065,0.72,0.7667
2,supertml,densenet161,0.8065,0.72,0.5467
3,supertml,densenet161,0.7742,0.6757,0.5119
4,supertml,densenet161,0.7742,0.6757,0.4345
0,refined,efficientnet_v2_m,0.8387,0.7884,0.2933
1,refined,efficientnet_v2_m,0.8065,0.72,0.44
2,refined,efficientnet_v2_m,0.8387,0.7884,0.88
3,refined,efficientnet_v2_m,0.7742,0.6757,0.375
4,refined,efficientnet_v2_m,0.7742,0.7221,0.5179
0,refined,mobilenet_v3_large,0.871,0.8605,0.8467
1,refined,mobilenet_v3_large,0.871,0.8435,0.5933
