fold,method,model,accuracy,f1_score,auc_roc
0,tinto,efficientnet_v2_m,0.8065,0.72,0.6533
1,tinto,efficientnet_v2_m,0.9032,0.8998,0.9667
2,tinto,efficientnet_v2_m,0.8065,0.72,0.6533
3,tinto,efficientnet_v2_m,0.8387,0.8015,0.6131
4,tinto,efficientnet_v2_m,0.7742,0.7221,0.5417
0,tinto,mobilenet_v3_large,0.8065,0.7908,0.6733
1,tinto,mobilenet_v3_large,0.8065,0.72,0.4467
2,tinto,mobilenet_v3_large,0.8065,0.72,0.6733
3,tinto,mobilenet_v3_large,0.8065,0.7446,0.6131
4,tinto,mobilenet_v3_large,0.7742,0.6757,0.5357
0,tinto,resnext50_32x4d,0.8065,0.72,0.1133
1,tinto,resnext50_32x4d,0.8065,0.72,0.7133
2,tinto,resnext50_32x4d,0.8065,0.72,0.2867
3,tinto,resnext50_32x4d,0.8065,0.7446,0.5893
4,tinto,resnext50_32x4d,0.7742,0.6757,0.7202
0,tinto,densenet161,0.8065,0.72,0.68
1,tinto,densenet161,0.8065,0.72,0.46
2,tinto,densenet161,0.8065,0.72,0.4733
3,tinto,densenet161,0.7742,0.6757,0.4821
4,tinto,densenet161,0.7742,0.6757,0.494
0,igtd,efficientnet_v2_m,0.8065,0.72,0.4467
1,igtd,efficientnet_v2_m,0.8065,0.72,0.3
2,igtd,efficientnet_v2_m,0.8065,0.72,0.6133
3,igtd,efficientnet_v2_m,0.7742,0.6757,0.619
4,igtd,efficientnet_v2_m,0.8387,0.8342,0.6607
0,igtd,mobilenet_v3_large,0.8065,0.72,0.16
1,igtd,mobilenet_v3_large,0.8065,0.72,0.2267
2,igtd,mobilenet_v3_large,0.8065,0.72,0.3467
3,igtd,mobilenet_v3_large,0.7742,0.7221,0.5298
4,igtd,mobilenet_v3_large,0.7742,0.6757,0.3333
0,igtd,resnext50_32x4d,0.8065,0.72,0.26
1,igtd,resnext50_32x4d,0.8065,0.7652,0.6867
2,igtd,resnext50_32x4d,0.8065,0.72,0.42
3,igtd,resnext50_32x4d,0.7742,0.6757,0.4762
4,igtd,resnext50_32x4d,0.7742,0.6757,0.3869
0,igtd,densenet161,0.8065,0.7652,0.42
1,igtd,densenet161,0.8065,0.72,0.1467
2,igtd,densenet161,0.8065,0.72,0.28
3,igtd,densenet161,0.7742,0.6757,0.5536
4,igtd,densenet161,0.7742,0.6757,0.3274
0,supertml,efficientnet_v2_m,0.8065,0.72,0.56
1,supertml,efficientnet_v2_m,0.8065,0.72,0.32
2,supertml,efficientnet_v2_m,0.8065,0.72,0.84
3,supertml,efficientnet_v2_m,0.7742,0.6757,0.4821
4,supertml,efficientnet_v2_m,0.8065,0.7446,0.5952
0,supertml,mobilenet_v3_large,0.8065,0.7652,0.48
1,supertml,mobilenet_v3_large,0.8387,0.7884,0.5
2,supertml,mobilenet_v3_large,0.871,0.8605,0.6067
3,supertml,mobilenet_v3_large,0.8065,0.7446,0.6905
4,supertml,mobilenet_v3_large,0.7742,0.6757,0.381
0,supertml,resnext50_32x4d,0.8065,0.72,0.5067
1,supertml,resnext50_32x4d,0.8065,0.72,0.6267
2,supertml,resnext50_32x4d,0.8065,0.72,0.46
3,supertml,resnext50_32x4d,0.7742,0.6757,0.3333
4,supertml,resnext50_32x4d,0.7742,0.6757,0.5
0,supertml,densenet161,0.8065,0.72,0.52
1,supertml,densenet161,0.8065,0.72,0.4733
2,supertml,densenet161,0.8065,0.72,0.8667
3,supertml,densenet161,0.7742,0.6757,0.6964
4,supertml,densenet161,0.7742,0.6757,0.4107
0,refined,efficientnet_v2_m,0.8065,0.72,0.3733
1,refined,efficientnet_v2_m,0.8065,0.72,0.2733
2,refined,efficientnet_v2_m,0.8065,0.7652,0.54
3,refined,efficientnet_v2_m,0.7742,0.6757,0.494
4,refined,efficientnet_v2_m,0.7742,0.6757,0.3512
0,refined,mobilenet_v3_large,0.8065,0.72,0.5733
1,refined,mobilenet_v3_large,0.8065,0.72,0.4333
2,refined,mobilenet_v3_large,0.8065,0.72,0.2467
3,refined,mobilenet_v3_large,0.7742,0.6757,0.5476
4,refined,mobilenet_v3_large,0.7742,0.7221,0.4107
0,refined,resnext50_32x4d,0.8065,0.72,0.66
1,refined,resnext50_32x4d,0.8065,0.72,0.5067
2,refined,resnext50_32x4d,0.8065,0.72,0.2667
3,refined,resnext50_32x4d,0.7742,0.6757,0.4286
4,refined,resnext50_32x4d,0.7742,0.6757,0.3988
0,refined,densenet161,0.8065,0.72,0.5667
1,refined,densenet161,0.8065,0.72,0.6867
2,refined,densenet161,0.8065,0.72,0.5733
3,refined,densenet161,0.7742,0.6757,0.631
4,refined,densenet161,0.7742,0.6757,0.4881
0,deepinsight,efficientnet_v2_m,0.8065,0.72,0.5533
1,deepinsight,efficientnet_v2_m,0.8387,0.7884,0.7867
