fold,method,model,accuracy,f1_score,auc_roc
0,traditional,svm,1.0,1.0,1.0
1,traditional,svm,0.9667,0.9666,1.0
2,traditional,svm,0.9,0.8997,0.9917
3,traditional,svm,1.0,1.0,1.0
4,traditional,svm,0.9333,0.9333,0.9867
0,traditional,random_forest,1.0,1.0,1.0
1,traditional,random_forest,0.9667,0.9666,1.0
2,traditional,random_forest,0.9333,0.9327,0.99
3,traditional,random_forest,0.9667,0.9666,1.0
4,traditional,random_forest,0.9,0.8997,0.9825
0,traditional,knn,1.0,1.0,1.0
1,traditional,knn,0.9667,0.9666,0.9967
2,traditional,knn,0.9333,0.9333,0.9842
3,traditional,knn,1.0,1.0,1.0
4,traditional,knn,0.9667,0.9666,0.97
0,traditional,decision_tree,1.0,1.0,1.0
1,traditional,decision_tree,0.9667,0.9666,0.975
2,traditional,decision_tree,0.9333,0.9327,0.95
3,traditional,decision_tree,0.9667,0.9666,0.975
4,traditional,decision_tree,0.9,0.8997,0.925
