fold,method,model,accuracy,f1_score,auc_roc
0,tinto,efficientnet_v2_m,0.9333,0.9333,0.9667
1,tinto,efficientnet_v2_m,0.7667,0.7613,0.8817
2,tinto,efficientnet_v2_m,0.7333,0.7243,0.9033
3,tinto,efficientnet_v2_m,0.7333,0.6825,0.88
4,tinto,efficientnet_v2_m,0.6667,0.5556,0.6583
0,tinto,mobilenet_v3_large,0.4667,0.3565,0.6017
1,tinto,mobilenet_v3_large,0.5,0.3889,0.66
2,tinto,mobilenet_v3_large,0.5333,0.4461,0.8317
3,tinto,mobilenet_v3_large,0.5,0.4171,0.365
4,tinto,mobilenet_v3_large,0.4667,0.3589,0.6117
0,tinto,resnext50_32x4d,0.6667,0.6504,0.79
1,tinto,resnext50_32x4d,0.8333,0.8175,0.905
2,tinto,resnext50_32x4d,0.7333,0.7384,0.88
3,tinto,resnext50_32x4d,0.7667,0.7511,0.86
4,tinto,resnext50_32x4d,0.8333,0.8329,0.8817
0,tinto,densenet161,0.9,0.8997,0.9433
1,tinto,densenet161,0.8333,0.8222,0.9033
2,tinto,densenet161,0.7333,0.7306,0.8467
3,tinto,densenet161,0.9,0.8997,0.9283
4,tinto,densenet161,0.7667,0.7661,0.865
0,supertml,efficientnet_v2_m,0.7,0.6646,0.7983
1,supertml,efficientnet_v2_m,0.5,0.3981,0.7133
2,supertml,efficientnet_v2_m,0.6667,0.6543,0.7917
3,supertml,efficientnet_v2_m,0.7667,0.741,0.8717
4,supertml,efficientnet_v2_m,0.7333,0.7406,0.8317
0,supertml,mobilenet_v3_large,0.4667,0.3656,0.5467
1,supertml,mobilenet_v3_large,0.4667,0.3779,0.73
2,supertml,mobilenet_v3_large,0.4667,0.3683,0.6317
3,supertml,mobilenet_v3_large,0.5333,0.4294,0.7067
4,supertml,mobilenet_v3_large,0.3667,0.2315,0.4717
0,supertml,resnext50_32x4d,0.9333,0.9333,0.9767
1,supertml,resnext50_32x4d,0.9333,0.9333,0.9783
2,supertml,resnext50_32x4d,0.9333,0.9327,0.9467
3,supertml,resnext50_32x4d,0.9333,0.9333,0.9867
4,supertml,resnext50_32x4d,0.7,0.6963,0.8467
0,supertml,densenet161,0.7667,0.7699,0.915
1,supertml,densenet161,0.9,0.8982,0.945
2,supertml,densenet161,0.8,0.7908,0.8717
3,supertml,densenet161,0.9667,0.9666,0.99
4,supertml,densenet161,0.6667,0.6621,0.7783
0,refined,efficientnet_v2_m,0.7333,0.7204,0.8517
1,refined,efficientnet_v2_m,0.9333,0.9327,0.9433
2,refined,efficientnet_v2_m,0.8,0.7952,0.8617
3,refined,efficientnet_v2_m,0.8,0.798,0.8783
4,refined,efficientnet_v2_m,0.8667,0.8692,0.9183
0,refined,mobilenet_v3_large,0.7,0.68,0.85
1,refined,mobilenet_v3_large,0.8,0.7919,0.8933
2,refined,mobilenet_v3_large,0.8,0.798,0.905
3,refined,mobilenet_v3_large,0.7,0.6681,0.8983
4,refined,mobilenet_v3_large,0.8,0.8,0.8483
0,refined,resnext50_32x4d,0.8333,0.8297,0.9417
1,refined,resnext50_32x4d,0.8333,0.8364,0.9417
2,refined,resnext50_32x4d,0.8,0.798,0.87
3,refined,resnext50_32x4d,0.8333,0.8329,0.89
4,refined,resnext50_32x4d,0.7667,0.7613,0.8817
0,refined,densenet161,0.8333,0.8295,0.9117
1,refined,densenet161,0.9,0.8977,0.9517
2,refined,densenet161,0.8333,0.8295,0.9
3,refined,densenet161,0.8,0.7917,0.87
4,refined,densenet161,0.8333,0.8222,0.86
0,deepinsight,efficientnet_v2_m,0.9,0.8997,0.935
1,deepinsight,efficientnet_v2_m,0.7667,0.7277,0.845
2,deepinsight,efficientnet_v2_m,0.8667,0.8653,0.9033
3,deepinsight,efficientnet_v2_m,0.8667,0.8653,0.93
4,deepinsight,efficientnet_v2_m,0.8,0.8,0.8583
0,deepinsight,mobilenet_v3_large,0.6333,0.5064,0.625
1,deepinsight,mobilenet_v3_large,0.6667,0.5411,0.63
2,deepinsight,mobilenet_v3_large,0.6333,0.5308,0.785
3,deepinsight,mobilenet_v3_large,0.5667,0.4607,0.49
4,deepinsight,mobilenet_v3_large,0.3333,0.1667,0.8817
0,deepinsight,resnext50_32x4d,0.8,0.7989,0.8467
1,deepinsight,resnext50_32x4d,0.9,0.8982,0.915
2,deepinsight,resnext50_32x4d,0.7,0.6992,0.8817
3,deepinsight,resnext50_32x4d,0.8,0.7917,0.8567
4,deepinsight,resnext50_32x4d,0.7,0.6931,0.8683
0,deepinsight,densenet161,0.9,0.9015,0.9333
1,deepinsight,densenet161,0.7,0.687,0.8367
2,deepinsight,densenet161,0.7667,0.7613,0.895
3,deepinsight,densenet161,0.8333,0.8329,0.8467
4,deepinsight,densenet161,0.7667,0.7341,0.8967
0,igtd,efficientnet_v2_m,0.8333,0.8315,0.9133
1,igtd,efficientnet_v2_m,0.7667,0.7479,0.8833
2,igtd,efficientnet_v2_m,0.7333,0.7167,0.8433
3,igtd,efficientnet_v2_m,0.8,0.7917,0.8367
4,igtd,efficientnet_v2_m,0.8,0.798,0.8583
0,igtd,mobilenet_v3_large,0.8,0.7996,0.885
1,igtd,mobilenet_v3_large,0.6333,0.5317,0.7833
2,igtd,mobilenet_v3_large,0.7,0.6887,0.8567
3,igtd,mobilenet_v3_large,0.7333,0.7296,0.8083
4,igtd,mobilenet_v3_large,0.8,0.7923,0.8817
0,igtd,resnext50_32x4d,0.8333,0.8295,0.8733
1,igtd,resnext50_32x4d,0.9,0.8997,0.9633
2,igtd,resnext50_32x4d,0.7,0.7063,0.8617
3,igtd,resnext50_32x4d,0.8,0.798,0.8833
4,igtd,resnext50_32x4d,0.7667,0.7341,0.9133
0,igtd,densenet161,0.9,0.8997,0.95
1,igtd,densenet161,0.9,0.8997,0.9267
2,igtd,densenet161,0.7667,0.7613,0.8817
3,igtd,densenet161,0.8667,0.8647,0.9033
4,igtd,densenet161,0.7667,0.7613,0.8717
