fold,method,model,accuracy,f1_score,auc_roc
0,tinto,efficientnet_v2_m,0.7333,0.7056,0.9017
1,tinto,efficientnet_v2_m,0.7,0.7033,0.8267
2,tinto,efficientnet_v2_m,0.8333,0.8318,0.9467
3,tinto,efficientnet_v2_m,0.8,0.7917,0.875
4,tinto,efficientnet_v2_m,0.7333,0.7333,0.855
0,tinto,mobilenet_v3_large,0.3333,0.1667,0.7767
1,tinto,mobilenet_v3_large,0.6,0.5545,0.7217
2,tinto,mobilenet_v3_large,0.4,0.2865,0.515
3,tinto,mobilenet_v3_large,0.6333,0.5244,0.5267
4,tinto,mobilenet_v3_large,0.5333,0.4256,0.795
0,tinto,resnext50_32x4d,0.8,0.7923,0.9133
1,tinto,resnext50_32x4d,0.9333,0.9333,0.925
2,tinto,resnext50_32x4d,0.7,0.7039,0.835
3,tinto,resnext50_32x4d,0.8333,0.8295,0.925
4,tinto,resnext50_32x4d,0.8,0.7943,0.8817
0,tinto,densenet161,0.9,0.9015,0.9633
1,tinto,densenet161,0.8333,0.8255,0.885
2,tinto,densenet161,0.8333,0.8295,0.9233
3,tinto,densenet161,0.8667,0.8653,0.915
4,tinto,densenet161,0.7667,0.7661,0.8883
0,igtd,efficientnet_v2_m,0.8,0.7937,0.8583
1,igtd,efficientnet_v2_m,0.8333,0.8295,0.9217
2,igtd,efficientnet_v2_m,0.9667,0.9666,0.9717
3,igtd,efficientnet_v2_m,0.8,0.8,0.8767
4,igtd,efficientnet_v2_m,0.8333,0.8329,0.9
0,igtd,mobilenet_v3_large,0.5333,0.4904,0.715
1,igtd,mobilenet_v3_large,0.6,0.5228,0.7833
2,igtd,mobilenet_v3_large,0.7,0.6437,0.85
3,igtd,mobilenet_v3_large,0.5667,0.5278,0.7283
4,igtd,mobilenet_v3_large,0.6667,0.6528,0.7567
0,igtd,resnext50_32x4d,0.8333,0.8295,0.91
1,igtd,resnext50_32x4d,0.8667,0.8667,0.9333
2,igtd,resnext50_32x4d,0.7333,0.7243,0.8767
3,igtd,resnext50_32x4d,0.8667,0.8653,0.9017
4,igtd,resnext50_32x4d,0.9,0.8997,0.9383
0,igtd,densenet161,0.7667,0.7661,0.86
1,igtd,densenet161,0.9333,0.9333,0.9417
2,igtd,densenet161,0.8333,0.8329,0.8867
3,igtd,densenet161,0.8667,0.8653,0.9017
4,igtd,densenet161,0.8667,0.8653,0.9283
0,supertml,efficientnet_v2_m,0.7,0.641,0.82
1,supertml,efficientnet_v2_m,0.7,0.6942,0.83
2,supertml,efficientnet_v2_m,0.6667,0.6386,0.7467
3,supertml,efficientnet_v2_m,0.6333,0.6128,0.655
4,supertml,efficientnet_v2_m,0.5333,0.5186,0.745
0,supertml,mobilenet_v3_large,0.6,0.5519,0.725
1,supertml,mobilenet_v3_large,0.3333,0.1667,0.5333
2,supertml,mobilenet_v3_large,0.4,0.3184,0.5867
3,supertml,mobilenet_v3_large,0.4667,0.3757,0.5333
4,supertml,mobilenet_v3_large,0.5667,0.4676,0.6383
0,supertml,resnext50_32x4d,0.8333,0.8258,0.8883
1,supertml,resnext50_32x4d,0.8667,0.8682,0.9333
2,supertml,resnext50_32x4d,0.8667,0.8624,0.9233
3,supertml,resnext50_32x4d,0.9,0.9019,0.915
4,supertml,resnext50_32x4d,0.8667,0.8682,0.9017
0,supertml,densenet161,0.7667,0.7672,0.8667
1,supertml,densenet161,0.9667,0.9666,0.9933
2,supertml,densenet161,0.7333,0.7135,0.8667
3,supertml,densenet161,0.8667,0.8649,0.94
4,supertml,densenet161,0.7,0.6864,0.84
0,refined,efficientnet_v2_m,0.8333,0.8307,0.8717
1,refined,efficientnet_v2_m,0.8,0.7989,0.9117
2,refined,efficientnet_v2_m,0.7333,0.728,0.8317
3,refined,efficientnet_v2_m,0.8,0.7917,0.82
4,refined,efficientnet_v2_m,0.7667,0.7687,0.87
0,refined,mobilenet_v3_large,0.7,0.68,0.865
1,refined,mobilenet_v3_large,0.7,0.6238,0.8283
2,refined,mobilenet_v3_large,0.8,0.7964,0.9083
3,refined,mobilenet_v3_large,0.7,0.6449,0.8983
4,refined,mobilenet_v3_large,0.7667,0.7435,0.765
0,refined,resnext50_32x4d,0.8333,0.8295,0.9383
1,refined,resnext50_32x4d,0.9,0.8997,0.9517
2,refined,resnext50_32x4d,0.8,0.7908,0.905
3,refined,resnext50_32x4d,0.7333,0.7333,0.85
4,refined,resnext50_32x4d,0.8333,0.8222,0.9017
0,refined,densenet161,0.9,0.8997,0.93
1,refined,densenet161,0.9,0.8977,0.9467
2,refined,densenet161,0.8,0.8,0.8967
3,refined,densenet161,0.8,0.7917,0.8383
4,refined,densenet161,0.8333,0.8295,0.9
0,deepinsight,efficientnet_v2_m,0.8333,0.8222,0.9483
1,deepinsight,efficientnet_v2_m,0.7333,0.7249,0.8567
2,deepinsight,efficientnet_v2_m,0.8667,0.8653,0.9417
3,deepinsight,efficientnet_v2_m,0.8333,0.8295,0.94
4,deepinsight,efficientnet_v2_m,0.7667,0.7341,0.8183
0,deepinsight,mobilenet_v3_large,0.3333,0.1667,0.8933
1,deepinsight,mobilenet_v3_large,0.3333,0.1667,0.8483
2,deepinsight,mobilenet_v3_large,0.5667,0.4765,0.63
3,deepinsight,mobilenet_v3_large,0.6333,0.5064,0.835
4,deepinsight,mobilenet_v3_large,0.5333,0.4977,0.7283
0,deepinsight,resnext50_32x4d,0.8667,0.8648,0.9333
1,deepinsight,resnext50_32x4d,0.8333,0.8255,0.8817
2,deepinsight,resnext50_32x4d,0.7333,0.7333,0.845
3,deepinsight,resnext50_32x4d,0.8667,0.8667,0.9517
4,deepinsight,resnext50_32x4d,0.8,0.798,0.8933
0,deepinsight,densenet161,0.8667,0.8649,0.89
1,deepinsight,densenet161,0.8333,0.8222,0.955
2,deepinsight,densenet161,0.7667,0.7511,0.885
3,deepinsight,densenet161,0.8333,0.8222,0.8683
4,deepinsight,densenet161,0.7667,0.7613,0.8867
