fold,method,model,accuracy,f1_score,auc_roc
0,traditional,svm,0.6,0.45,0.35
1,traditional,svm,0.6,0.45,0.5
2,traditional,svm,0.6,0.5333,0.6
3,traditional,svm,0.6,0.45,0.75
4,traditional,svm,0.75,0.6429,NaN
0,traditional,random_forest,1.0,1.0,1.0
1,traditional,random_forest,1.0,1.0,1.0
2,traditional,random_forest,0.6,0.5333,0.75
3,traditional,random_forest,0.8,0.7143,1.0
4,traditional,random_forest,0.75,0.85,NaN
0,traditional,knn,1.0,1.0,0.975
1,traditional,knn,1.0,1.0,1.0
2,traditional,knn,0.6,0.58,0.75
3,traditional,knn,0.8,0.7143,0.9
4,traditional,knn,0.75,0.85,NaN
0,traditional,decision_tree,1.0,1.0,1.0
1,traditional,decision_tree,1.0,1.0,1.0
2,traditional,decision_tree,0.6,0.5333,0.625
3,traditional,decision_tree,1.0,1.0,1.0
4,traditional,decision_tree,0.75,0.85,NaN
