fold,method,model,accuracy,f1_score,auc_roc
0,traditional,svm,0.8974,0.886,0.9593
1,traditional,svm,0.9231,0.9172,0.9111
2,traditional,svm,0.9231,0.9182,0.9138
3,traditional,svm,0.7949,0.7389,0.7759
4,traditional,svm,0.8205,0.7977,0.8931
0,traditional,random_forest,0.9744,0.9738,0.9778
1,traditional,random_forest,0.9231,0.9244,0.963
2,traditional,random_forest,0.8974,0.9003,0.9862
3,traditional,random_forest,0.8462,0.8204,0.9741
4,traditional,random_forest,0.7949,0.7758,0.9069
0,traditional,knn,0.9231,0.9244,0.9796
1,traditional,knn,0.8718,0.8741,0.9704
2,traditional,knn,0.8462,0.8504,0.9586
3,traditional,knn,0.8974,0.8879,0.9862
4,traditional,knn,0.8974,0.8934,0.9638
0,traditional,decision_tree,0.9231,0.9244,0.9111
1,traditional,decision_tree,0.8974,0.8927,0.8167
2,traditional,decision_tree,0.7692,0.7814,0.7793
3,traditional,decision_tree,0.8718,0.8695,0.8155
4,traditional,decision_tree,0.8462,0.8462,0.7983
