fold,method,model,accuracy,f1_score,auc_roc
0,tinto,efficientnet_v2_m,0.8462,0.8147,0.7444
1,tinto,efficientnet_v2_m,0.9487,0.9463,0.9926
2,tinto,efficientnet_v2_m,0.8718,0.8555,0.9966
3,tinto,efficientnet_v2_m,0.7692,0.6903,0.3724
4,tinto,efficientnet_v2_m,0.7949,0.7758,0.6828
0,tinto,mobilenet_v3_large,0.9231,0.9172,0.9926
1,tinto,mobilenet_v3_large,0.8974,0.9008,0.9556
2,tinto,mobilenet_v3_large,0.9487,0.9501,0.9621
3,tinto,mobilenet_v3_large,0.7436,0.6342,0.2655
4,tinto,mobilenet_v3_large,0.8462,0.8402,0.8966
0,tinto,resnext50_32x4d,0.8205,0.7728,0.9444
1,tinto,resnext50_32x4d,0.7949,0.7249,0.9963
2,tinto,resnext50_32x4d,0.7949,0.7389,0.9621
3,tinto,resnext50_32x4d,0.7692,0.6903,1.0
4,tinto,resnext50_32x4d,0.7692,0.6903,0.9966
0,tinto,densenet161,0.8462,0.8147,1.0
1,tinto,densenet161,0.8718,0.8521,0.9963
2,tinto,densenet161,0.9231,0.9182,0.9724
3,tinto,densenet161,0.7949,0.7389,0.9897
4,tinto,densenet161,0.8974,0.8879,0.9897
0,supertml,efficientnet_v2_m,0.7692,0.6689,0.4556
1,supertml,efficientnet_v2_m,0.7949,0.7249,0.6556
2,supertml,efficientnet_v2_m,0.7436,0.6342,0.4414
3,supertml,efficientnet_v2_m,0.7436,0.6342,0.4966
4,supertml,efficientnet_v2_m,0.7436,0.6342,0.4069
0,supertml,mobilenet_v3_large,0.7692,0.6689,0.6593
1,supertml,mobilenet_v3_large,0.8205,0.8286,0.8259
2,supertml,mobilenet_v3_large,0.7436,0.6342,0.6172
3,supertml,mobilenet_v3_large,0.7436,0.6342,0.4552
4,supertml,mobilenet_v3_large,0.7436,0.6342,0.3828
0,supertml,resnext50_32x4d,0.7692,0.6689,0.2778
1,supertml,resnext50_32x4d,0.7692,0.6689,0.3222
2,supertml,resnext50_32x4d,0.7436,0.6342,0.2724
3,supertml,resnext50_32x4d,0.7436,0.6342,0.2897
4,supertml,resnext50_32x4d,0.7436,0.6342,0.5414
0,supertml,densenet161,0.7692,0.6689,0.4296
1,supertml,densenet161,0.7692,0.6689,0.6778
2,supertml,densenet161,0.7436,0.6342,0.2276
3,supertml,densenet161,0.7692,0.6903,0.7897
4,supertml,densenet161,0.7436,0.6342,0.7379
0,refined,efficientnet_v2_m,0.9487,0.9463,0.9926
1,refined,efficientnet_v2_m,0.8462,0.8147,0.9926
2,refined,efficientnet_v2_m,0.8718,0.8555,0.9621
3,refined,efficientnet_v2_m,0.7949,0.7389,0.769
4,refined,efficientnet_v2_m,0.7436,0.6342,0.4138
0,refined,mobilenet_v3_large,0.8974,0.886,0.9852
1,refined,mobilenet_v3_large,0.7949,0.7249,0.963
2,refined,mobilenet_v3_large,0.7436,0.6342,0.0483
3,refined,mobilenet_v3_large,0.7436,0.6342,0.6621
4,refined,mobilenet_v3_large,0.8205,0.7819,0.8897
0,refined,resnext50_32x4d,0.8462,0.8147,0.8481
1,refined,resnext50_32x4d,0.8718,0.8521,0.9889
2,refined,resnext50_32x4d,0.7949,0.7389,0.9379
3,refined,resnext50_32x4d,0.7436,0.6342,0.5241
4,refined,resnext50_32x4d,0.7436,0.6342,0.3793
0,refined,densenet161,0.9487,0.9463,0.9704
1,refined,densenet161,0.9487,0.9463,0.9889
2,refined,densenet161,0.9487,0.9467,1.0
3,refined,densenet161,0.8205,0.7819,0.9448
4,refined,densenet161,0.7949,0.7389,0.9241
0,deepinsight,efficientnet_v2_m,0.8205,0.7728,0.9074
1,deepinsight,efficientnet_v2_m,1.0,1.0,1.0
2,deepinsight,efficientnet_v2_m,0.9744,0.9739,0.9793
3,deepinsight,efficientnet_v2_m,0.7692,0.6903,0.9069
4,deepinsight,efficientnet_v2_m,0.7436,0.7507,0.7241
0,deepinsight,mobilenet_v3_large,0.9487,0.9463,0.937
1,deepinsight,mobilenet_v3_large,0.8718,0.8521,0.7333
2,deepinsight,mobilenet_v3_large,1.0,1.0,1.0
3,deepinsight,mobilenet_v3_large,0.7436,0.6342,0.7517
4,deepinsight,mobilenet_v3_large,0.9231,0.9182,0.9966
0,deepinsight,resnext50_32x4d,0.7949,0.7249,0.9963
1,deepinsight,resnext50_32x4d,0.9231,0.9172,0.9926
2,deepinsight,resnext50_32x4d,0.7949,0.7389,0.9759
3,deepinsight,resnext50_32x4d,0.7436,0.6342,0.1552
4,deepinsight,resnext50_32x4d,0.7692,0.6903,0.9966
0,deepinsight,densenet161,0.8205,0.7728,0.9519
1,deepinsight,densenet161,0.9231,0.9172,1.0
2,deepinsight,densenet161,0.7692,0.6903,0.9862
3,deepinsight,densenet161,0.7436,0.6342,0.9
4,deepinsight,densenet161,0.7692,0.6903,0.9862
0,igtd,efficientnet_v2_m,0.9231,0.9172,0.9741
1,igtd,efficientnet_v2_m,0.8718,0.8521,0.8519
2,igtd,efficientnet_v2_m,0.8974,0.8879,0.9724
3,igtd,efficientnet_v2_m,0.7692,0.6903,0.869
4,igtd,efficientnet_v2_m,0.9231,0.9182,0.9966
0,igtd,mobilenet_v3_large,0.8718,0.8521,0.5926
1,igtd,mobilenet_v3_large,0.8718,0.862,0.837
2,igtd,mobilenet_v3_large,0.9231,0.9217,0.9483
3,igtd,mobilenet_v3_large,0.7692,0.6903,0.6103
4,igtd,mobilenet_v3_large,0.8205,0.7819,0.969
0,igtd,resnext50_32x4d,0.8462,0.8147,0.9926
1,igtd,resnext50_32x4d,0.7692,0.6689,0.4519
2,igtd,resnext50_32x4d,0.7436,0.6342,0.8207
3,igtd,resnext50_32x4d,0.7436,0.6342,0.4517
4,igtd,resnext50_32x4d,0.7692,0.6903,0.9828
0,igtd,densenet161,0.9231,0.9172,1.0
1,igtd,densenet161,0.9744,0.9738,1.0
2,igtd,densenet161,0.9744,0.9739,1.0
3,igtd,densenet161,0.7436,0.6342,0.3172
4,igtd,densenet161,0.9744,0.9739,0.9966
