fold,method,model,accuracy,f1_score,auc_roc
0,tinto,efficientnet_v2_m,0.8974,0.886,0.9815
1,tinto,efficientnet_v2_m,0.9487,0.9463,0.9926
2,tinto,efficientnet_v2_m,0.8718,0.8555,1.0
3,tinto,efficientnet_v2_m,0.7949,0.7869,0.8379
4,tinto,efficientnet_v2_m,0.8974,0.8879,0.9931
0,tinto,mobilenet_v3_large,0.7692,0.6689,0.8519
1,tinto,mobilenet_v3_large,0.8205,0.7929,0.6481
2,tinto,mobilenet_v3_large,0.7436,0.7007,0.3103
3,tinto,mobilenet_v3_large,1.0,1.0,1.0
4,tinto,mobilenet_v3_large,0.7692,0.6903,0.7966
0,tinto,resnext50_32x4d,0.8205,0.7728,0.9074
1,tinto,resnext50_32x4d,0.7949,0.7249,0.9926
2,tinto,resnext50_32x4d,0.8718,0.8555,0.9759
3,tinto,resnext50_32x4d,0.7692,0.6903,0.9759
4,tinto,resnext50_32x4d,0.7692,0.6903,0.9793
0,tinto,densenet161,0.9487,0.9463,1.0
1,tinto,densenet161,0.9744,0.9738,1.0
2,tinto,densenet161,0.9487,0.9467,0.9793
3,tinto,densenet161,0.8974,0.8879,1.0
4,tinto,densenet161,0.8718,0.8555,1.0
0,igtd,efficientnet_v2_m,0.8462,0.829,0.9593
1,igtd,efficientnet_v2_m,0.8974,0.886,0.7815
2,igtd,efficientnet_v2_m,0.9487,0.9467,1.0
3,igtd,efficientnet_v2_m,0.8718,0.8555,0.9621
4,igtd,efficientnet_v2_m,0.9487,0.9467,0.9966
0,igtd,mobilenet_v3_large,0.9231,0.9214,0.9444
1,igtd,mobilenet_v3_large,0.7692,0.7337,0.5556
2,igtd,mobilenet_v3_large,0.7949,0.7389,0.6862
3,igtd,mobilenet_v3_large,0.7949,0.8005,0.7448
4,igtd,mobilenet_v3_large,0.8462,0.8319,0.8621
0,igtd,resnext50_32x4d,0.8205,0.7728,0.9778
1,igtd,resnext50_32x4d,0.7692,0.6689,0.4704
2,igtd,resnext50_32x4d,0.7692,0.6903,0.9379
3,igtd,resnext50_32x4d,0.7949,0.7389,0.8931
4,igtd,resnext50_32x4d,0.7692,0.6903,0.7414
0,igtd,densenet161,0.9487,0.9463,1.0
1,igtd,densenet161,0.9744,0.9738,1.0
2,igtd,densenet161,0.9231,0.9182,1.0
3,igtd,densenet161,0.7692,0.6903,1.0
4,igtd,densenet161,0.9487,0.9467,0.9931
0,supertml,efficientnet_v2_m,0.7692,0.6689,0.3778
1,supertml,efficientnet_v2_m,0.7949,0.7249,0.5815
2,supertml,efficientnet_v2_m,0.7436,0.6737,0.6172
3,supertml,efficientnet_v2_m,0.7692,0.6903,0.531
4,supertml,efficientnet_v2_m,0.7692,0.6903,0.5931
0,supertml,mobilenet_v3_large,0.7949,0.7249,0.7556
1,supertml,mobilenet_v3_large,0.7692,0.7516,0.6963
2,supertml,mobilenet_v3_large,0.7436,0.6342,0.5655
3,supertml,mobilenet_v3_large,0.7436,0.6342,0.4517
4,supertml,mobilenet_v3_large,0.7949,0.7605,0.5448
0,supertml,resnext50_32x4d,0.7692,0.6689,0.4222
1,supertml,resnext50_32x4d,0.7692,0.6689,0.5963
2,supertml,resnext50_32x4d,0.7436,0.6342,0.3345
3,supertml,resnext50_32x4d,0.7436,0.6342,0.6138
4,supertml,resnext50_32x4d,0.7436,0.6342,0.6931
0,supertml,densenet161,0.7692,0.6689,0.4185
1,supertml,densenet161,0.7692,0.6689,0.5704
2,supertml,densenet161,0.7436,0.6342,0.6448
3,supertml,densenet161,0.7436,0.6342,0.4034
4,supertml,densenet161,0.7436,0.6342,0.4586
0,refined,efficientnet_v2_m,0.8205,0.7728,0.937
1,refined,efficientnet_v2_m,0.8974,0.886,0.9556
2,refined,efficientnet_v2_m,0.7949,0.7389,0.9172
3,refined,efficientnet_v2_m,0.7692,0.6903,0.9103
4,refined,efficientnet_v2_m,0.8718,0.8555,0.9655
0,refined,mobilenet_v3_large,0.7949,0.7249,0.7926
1,refined,mobilenet_v3_large,0.7692,0.6689,0.163
2,refined,mobilenet_v3_large,0.7436,0.6342,0.7172
3,refined,mobilenet_v3_large,0.7436,0.6342,0.3069
4,refined,mobilenet_v3_large,0.7436,0.6342,0.9345
0,refined,resnext50_32x4d,0.8462,0.8147,0.8963
1,refined,resnext50_32x4d,0.8718,0.8521,0.9926
2,refined,resnext50_32x4d,0.7436,0.6342,0.4552
3,refined,resnext50_32x4d,0.7692,0.6903,0.4966
4,refined,resnext50_32x4d,0.7949,0.7758,0.7897
0,refined,densenet161,0.9744,0.9738,0.9926
1,refined,densenet161,0.8462,0.8147,0.9519
2,refined,densenet161,0.9744,0.9739,1.0
3,refined,densenet161,0.9231,0.9182,0.9586
4,refined,densenet161,0.9231,0.9182,0.931
0,deepinsight,efficientnet_v2_m,0.8718,0.8521,0.9926
1,deepinsight,efficientnet_v2_m,1.0,1.0,1.0
2,deepinsight,efficientnet_v2_m,0.9231,0.9182,0.9655
3,deepinsight,efficientnet_v2_m,0.7436,0.6342,0.1517
4,deepinsight,efficientnet_v2_m,0.8718,0.8555,0.9138
0,deepinsight,mobilenet_v3_large,0.8462,0.8147,0.737
1,deepinsight,mobilenet_v3_large,0.8205,0.8167,0.7222
2,deepinsight,mobilenet_v3_large,0.8718,0.8555,1.0
3,deepinsight,mobilenet_v3_large,0.9231,0.9182,0.9345
4,deepinsight,mobilenet_v3_large,0.9487,0.9467,1.0
0,deepinsight,resnext50_32x4d,0.7692,0.6689,0.5148
1,deepinsight,resnext50_32x4d,0.8462,0.8147,1.0
2,deepinsight,resnext50_32x4d,0.7436,0.6342,0.9828
3,deepinsight,resnext50_32x4d,0.8718,0.8786,1.0
4,deepinsight,resnext50_32x4d,0.7949,0.7389,1.0
0,deepinsight,densenet161,0.8462,0.8147,0.9963
1,deepinsight,densenet161,0.9744,0.9738,1.0
2,deepinsight,densenet161,0.9744,0.9739,1.0
3,deepinsight,densenet161,0.7949,0.7389,0.9897
4,deepinsight,densenet161,0.7692,0.6903,0.9448
