fold,method,model,accuracy,f1_score,auc_roc
0,traditional,svm,0.9524,0.9365,0.9952
1,traditional,svm,1.0,1.0,NaN
2,traditional,svm,0.9,0.8965,0.9868
3,traditional,svm,0.95,0.93,0.9974
4,traditional,svm,1.0,1.0,0.9974
0,traditional,random_forest,1.0,1.0,1.0
1,traditional,random_forest,1.0,1.0,NaN
2,traditional,random_forest,1.0,1.0,1.0
3,traditional,random_forest,0.95,0.9286,1.0
4,traditional,random_forest,0.95,0.9333,1.0
0,traditional,knn,0.8095,0.8072,1.0
1,traditional,knn,1.0,1.0,NaN
2,traditional,knn,0.9,0.8931,0.9947
3,traditional,knn,0.9,0.8786,0.9974
4,traditional,knn,0.95,0.9467,1.0
0,traditional,decision_tree,0.9524,0.9365,0.975
1,traditional,decision_tree,0.95,0.9467,NaN
2,traditional,decision_tree,1.0,1.0,1.0
3,traditional,decision_tree,0.95,0.9333,0.9737
4,traditional,decision_tree,0.85,0.8467,0.9196
