fold,method,model,accuracy,f1_score,auc_roc
0,tinto,efficientnet_v2_m,0.7619,0.6891,0.9349
1,tinto,efficientnet_v2_m,0.75,0.6877,NaN
2,tinto,efficientnet_v2_m,0.7,0.6123,0.9515
3,tinto,efficientnet_v2_m,0.6,0.4908,0.7953
4,tinto,efficientnet_v2_m,0.55,0.4167,0.8169
0,tinto,mobilenet_v3_large,0.4286,0.3619,0.4795
1,tinto,mobilenet_v3_large,0.4,0.2462,NaN
2,tinto,mobilenet_v3_large,0.4,0.2909,0.577
3,tinto,mobilenet_v3_large,0.4,0.2286,0.3476
4,tinto,mobilenet_v3_large,0.4,0.2783,0.6383
0,tinto,resnext50_32x4d,0.8571,0.8111,0.9722
1,tinto,resnext50_32x4d,0.75,0.6548,NaN
2,tinto,resnext50_32x4d,0.6,0.5131,0.959
3,tinto,resnext50_32x4d,0.5,0.3662,0.8527
4,tinto,resnext50_32x4d,0.7,0.5825,0.9579
0,tinto,densenet161,0.8095,0.7271,0.9976
1,tinto,densenet161,0.55,0.4274,NaN
2,tinto,densenet161,0.4,0.2286,0.3754
3,tinto,densenet161,0.55,0.4643,0.9792
4,tinto,densenet161,0.7,0.5909,0.973
0,igtd,efficientnet_v2_m,0.8095,0.7271,0.9685
1,igtd,efficientnet_v2_m,0.85,0.7833,NaN
2,igtd,efficientnet_v2_m,0.65,0.5398,0.7994
3,igtd,efficientnet_v2_m,0.75,0.6468,0.8147
4,igtd,efficientnet_v2_m,0.65,0.583,0.8003
0,igtd,mobilenet_v3_large,0.5238,0.3997,0.7289
1,igtd,mobilenet_v3_large,0.4,0.237,NaN
2,igtd,mobilenet_v3_large,0.6,0.5264,0.6492
3,igtd,mobilenet_v3_large,0.4,0.237,0.3207
4,igtd,mobilenet_v3_large,0.4,0.2286,0.3807
0,igtd,resnext50_32x4d,0.7619,0.6787,0.9657
1,igtd,resnext50_32x4d,0.75,0.6548,NaN
2,igtd,resnext50_32x4d,0.65,0.5533,0.9495
