fold,method,model,accuracy,f1_score,auc_roc
0,tinto,efficientnet_v2_m,0.619,0.4739,0.8651
1,tinto,efficientnet_v2_m,0.6,0.4949,NaN
2,tinto,efficientnet_v2_m,0.65,0.5552,0.9148
3,tinto,efficientnet_v2_m,0.6,0.4949,0.9318
4,tinto,efficientnet_v2_m,0.6,0.4997,0.8974
0,tinto,mobilenet_v3_large,0.5714,0.4898,0.6572
1,tinto,mobilenet_v3_large,0.45,0.3786,NaN
2,tinto,mobilenet_v3_large,0.4,0.2667,0.598
3,tinto,mobilenet_v3_large,0.6,0.5231,0.8824
4,tinto,mobilenet_v3_large,0.55,0.4281,0.6266
0,tinto,resnext50_32x4d,0.619,0.4779,0.5772
1,tinto,resnext50_32x4d,0.75,0.6548,NaN
2,tinto,resnext50_32x4d,0.65,0.5533,0.9445
3,tinto,resnext50_32x4d,0.6,0.4502,0.9278
4,tinto,resnext50_32x4d,0.75,0.6978,0.9787
0,tinto,densenet161,0.619,0.5127,0.9733
1,tinto,densenet161,0.5,0.3703,NaN
2,tinto,densenet161,0.6,0.456,0.9543
3,tinto,densenet161,0.65,0.5609,0.9921
4,tinto,densenet161,0.6,0.4831,0.7145
0,igtd,efficientnet_v2_m,0.619,0.5189,0.8822
1,igtd,efficientnet_v2_m,0.85,0.7828,NaN
2,igtd,efficientnet_v2_m,0.65,0.5509,0.8385
3,igtd,efficientnet_v2_m,0.55,0.456,0.6573
4,igtd,efficientnet_v2_m,0.6,0.4533,0.489
0,igtd,mobilenet_v3_large,0.619,0.4776,0.811
1,igtd,mobilenet_v3_large,0.45,0.3345,NaN
2,igtd,mobilenet_v3_large,0.4,0.2462,0.3943
3,igtd,mobilenet_v3_large,0.5,0.3662,0.6977
4,igtd,mobilenet_v3_large,0.4,0.2573,0.4361
0,igtd,resnext50_32x4d,0.8571,0.809,0.9587
1,igtd,resnext50_32x4d,0.75,0.6548,NaN
2,igtd,resnext50_32x4d,0.75,0.6548,0.907
3,igtd,resnext50_32x4d,0.8,0.7367,0.97
4,igtd,resnext50_32x4d,0.6,0.5048,0.9634
0,igtd,densenet161,0.8095,0.7316,0.9921
1,igtd,densenet161,0.65,0.5314,NaN
2,igtd,densenet161,0.6,0.4667,0.9244
3,igtd,densenet161,0.7,0.6326,0.9417
4,igtd,densenet161,0.6,0.4667,0.9331
0,supertml,efficientnet_v2_m,0.5238,0.4492,0.8133
1,supertml,efficientnet_v2_m,0.5,0.3893,NaN
2,supertml,efficientnet_v2_m,0.45,0.317,0.3766
3,supertml,efficientnet_v2_m,0.65,0.5187,0.6843
4,supertml,efficientnet_v2_m,0.5,0.3783,0.61
0,supertml,mobilenet_v3_large,0.4286,0.2571,0.5083
1,supertml,mobilenet_v3_large,0.5,0.3732,NaN
2,supertml,mobilenet_v3_large,0.4,0.2286,0.492
3,supertml,mobilenet_v3_large,0.5,0.3775,0.7726
4,supertml,mobilenet_v3_large,0.4,0.2286,0.2288
0,supertml,resnext50_32x4d,0.7143,0.6071,0.9373
1,supertml,resnext50_32x4d,0.8,0.7368,NaN
2,supertml,resnext50_32x4d,0.9,0.8556,0.9774
3,supertml,resnext50_32x4d,0.6,0.4509,0.7633
4,supertml,resnext50_32x4d,0.65,0.5497,0.9428
0,supertml,densenet161,0.4286,0.2571,0.6005
1,supertml,densenet161,0.5,0.3833,NaN
2,supertml,densenet161,0.6,0.4667,0.9701
3,supertml,densenet161,0.55,0.4274,0.9253
4,supertml,densenet161,0.5,0.3795,0.9683
0,refined,efficientnet_v2_m,0.619,0.5189,0.9061
1,refined,efficientnet_v2_m,0.7,0.6306,NaN
2,refined,efficientnet_v2_m,0.55,0.4274,0.7089
3,refined,efficientnet_v2_m,0.8,0.745,0.969
4,refined,efficientnet_v2_m,0.7,0.6381,0.9569
0,refined,mobilenet_v3_large,0.5238,0.3919,0.7423
1,refined,mobilenet_v3_large,0.45,0.3335,NaN
2,refined,mobilenet_v3_large,0.5,0.3795,0.7395
3,refined,mobilenet_v3_large,0.45,0.2867,0.6331
4,refined,mobilenet_v3_large,0.6,0.53,0.7875
0,refined,resnext50_32x4d,0.9048,0.8619,0.9976
1,refined,resnext50_32x4d,0.8,0.7367,NaN
2,refined,resnext50_32x4d,0.65,0.5533,0.9865
3,refined,resnext50_32x4d,0.8,0.7322,0.9653
4,refined,resnext50_32x4d,0.7,0.5909,1.0
0,refined,densenet161,0.7143,0.6071,0.969
1,refined,densenet161,0.7,0.6048,NaN
2,refined,densenet161,0.55,0.4167,0.9268
3,refined,densenet161,0.45,0.3128,0.978
4,refined,densenet161,0.65,0.5423,0.9681
0,deepinsight,efficientnet_v2_m,0.8095,0.7603,0.9468
1,deepinsight,efficientnet_v2_m,0.7,0.6109,NaN
2,deepinsight,efficientnet_v2_m,0.8,0.7286,0.9573
3,deepinsight,efficientnet_v2_m,0.6,0.4509,0.8166
4,deepinsight,efficientnet_v2_m,0.65,0.5354,0.9097
0,deepinsight,mobilenet_v3_large,0.4762,0.3902,0.6741
1,deepinsight,mobilenet_v3_large,0.6,0.4667,NaN
2,deepinsight,mobilenet_v3_large,0.55,0.4133,0.6947
3,deepinsight,mobilenet_v3_large,0.45,0.281,0.6476
4,deepinsight,mobilenet_v3_large,0.4,0.237,0.3595
0,deepinsight,resnext50_32x4d,0.6667,0.589,0.9484
1,deepinsight,resnext50_32x4d,0.7,0.6109,NaN
2,deepinsight,resnext50_32x4d,0.65,0.5405,0.9842
3,deepinsight,resnext50_32x4d,0.55,0.4116,0.8875
4,deepinsight,resnext50_32x4d,0.65,0.5354,0.9836
0,deepinsight,densenet161,0.619,0.5149,0.9639
1,deepinsight,densenet161,0.6,0.4667,NaN
2,deepinsight,densenet161,0.65,0.5533,0.9789
3,deepinsight,densenet161,0.6,0.4667,0.98
4,deepinsight,densenet161,0.45,0.317,0.976
